id_entrega,canton_destino,peso_kg,volumen_m3,distancia_km,num_paradas,hora_salida,lluvia_mm,tipo_vehiculo,experiencia_conductor_meses,carga_previa_pct,incidencias_registradas,entrega_tardia
ENT-01125,Zamora,251.4,1.225,138.6,5,13,2.2,camion liviano,28.0,65.1,1,1
ENT-00756,Macara,444.8,2.158,51.6,2,10,4.2,camion liviano,6.0,9.9,3,1
ENT-02517,Catamayo,360.2,1.238,27.2,2,11,1.3,camioneta,60.0,28.7,0,0
ENT-01815,Loja,217.6,1.356,5.8,8,9,0.0,camioneta,75.0,84.3,0,0
ENT-01462,Cariamanga,146.1,0.638,65.4,8,6,0.3,camion liviano,,42.5,0,0
ENT-02197,Loja,89.5,0.465,46.3,3,12,0.6,camioneta,,90.6,1,1
ENT-02184,Zamora,828.0,3.291,47.9,6,6,0.9,camioneta,,29.7,0,0
ENT-00858,Zamora,140.3,0.606,18.1,5,8,0.0,camion liviano,49.0,80.0,1,1
ENT-01843,Cariamanga,486.1,2.946,81.8,4,5,0.7,camion pesado,78.0,76.4,4,1
ENT-02033,Saraguro,492.1,3.075,19.5,4,9,0.5,camioneta,27.0,20.7,1,0
ENT-02809,Cariamanga,281.0,1.595,33.3,3,14,0.0,camion liviano,87.0,82.3,0,0
ENT-02408,loja,351.7,1.344,59.9,3,6,0.0,camioneta,37.0,41.6,0,1
ENT-02335,Cariamanga,295.2,1.275,67.9,5,8,0.9,camioneta,72.0,68.1,2,1
ENT-00963,Cariamanga,429.7,1.459,10.9,4,4,3.4,camion pesado,13.0,15.2,0,0
ENT-01240,Saraguro,223.5,0.768,20.4,2,10,0.5,camion pesado,159.0,44.0,0,0
ENT-00543,Saraguro,508.4,3.298,122.8,6,10,1.7,camion liviano,,75.2,5,1
ENT-02941,Loja,131.8,0.729,67.4,4,7,4.8,camioneta,78.0,85.5,1,1
ENT-01338,Catamayo,494.2,2.29,25.9,4,14,0.0,camioneta,84.0,55.2,1,0
ENT-01236,Catamayo,486.9,3.216,10.0,1,11,0.0,camion liviano,48.0,6.9,0,0
ENT-02949,Zamora,528.0,2.189,30.3,3,7,1.0,camioneta,36.0,12.4,0,0
ENT-02180,Machala,395.3,1.404,4.9,3,11,1.1,camioneta,63.0,53.5,0,0
ENT-02470,Catamayo,156.7,0.792,47.6,8,99,0.0,camioneta,26.0,43.8,2,1
ENT-00950,LOJA,491.4,1.618,61.0,4,12,0.0,camioneta,4.0,15.7,0,0
ENT-02196,Loja,518.5,2.197,9.0,3,9,0.1,camion liviano,18.0,66.8,2,1
ENT-01221,Zamora,114.7,0.652,17.4,3,8,14.1,camioneta,,62.5,1,0
ENT-02952,Macara,150.0,0.8,39.1,2,13,2.8,camioneta,32.0,59.5,3,1
ENT-02787,Catamayo,38.2,0.157,33.5,10,9,0.0,camion liviano,34.0,89.4,0,0
ENT-01463,Macara,468.0,2.041,46.1,11,8,0.0,camion liviano,63.0,17.3,1,1
ENT-02469,Loja,256.8,1.051,83.4,5,9,0.0,camioneta,,57.5,0,1
ENT-02017,Zamora,321.7,1.434,63.9,3,7,1.7,camioneta,,75.6,2,1
ENT-00991,Machala,743.7,4.01,8.9,4,9,0.0,camion liviano,75.0,82.3,0,0
ENT-00436,LOJA,373.3,2.012,96.9,6,5,0.3,camioneta,,56.5,0,0
ENT-01000,Saraguro,430.9,2.084,33.2,1,9,,camioneta,,75.2,0,0
ENT-00238,Saraguro,544.6,3.035,46.9,6,12,5.2,camion liviano,45.0,69.5,0,1
ENT-02722,machala,520.7,1.78,40.5,11,9,1.6,camion liviano,,54.0,1,1
ENT-00110,Cariamanga,201.1,1.413,3.7,6,11,2.5,camion pesado,78.0,68.7,1,1
ENT-00782,Saraguro,192.3,0.938,66.5,7,11,0.7,camioneta,71.0,43.4,0,0
ENT-02098,Catamayo,305.5,1.462,45.5,3,10,0.0,camioneta,82.0,42.4,3,1
ENT-00164,Macara,105.2,0.354,10.2,1,9,0.9,camioneta,,64.7,0,0
ENT-00289,Macara,132.7,0.683,42.0,9,9,3.9,camioneta,33.0,47.0,0,0
ENT-00253,Macara,195.5,0.897,57.5,4,4,0.2,camioneta,74.0,41.7,0,1
ENT-01162,Saraguro,632.0,2.495,57.5,14,10,3.0,camion pesado,,62.6,2,1
ENT-02169,Machala,143.1,0.786,54.9,12,7,1.6,camioneta,78.0,37.1,3,1
ENT-01949,Loja ,214.2,1.436,42.3,2,10,0.0,camion pesado,,46.3,0,1
ENT-00768,Catamayo,300.8,1.671,68.0,7,5,2.9,camioneta,27.0,41.0,1,1
ENT-00788,Machala,565.0,3.673,18.2,8,13,1.1,camion pesado,,92.2,2,1
ENT-01360,Catamayo,178.8,1.027,58.9,2,14,5.0,camion liviano,83.0,38.5,0,0
ENT-00832,Catamayo,353.2,1.377,43.5,6,7,1.8,camion pesado,,49.1,0,0
ENT-01930,Cariamanga,101.2,0.329,18.1,8,7,0.0,camion liviano,81.0,38.0,0,0
ENT-01386,Machala,230.7,1.166,64.3,13,4,0.0,camion pesado,,74.9,3,1
ENT-02804,Cariamanga,962.3,4.441,29.5,3,13,0.0,camioneta,21.0,87.6,0,1
ENT-02381,Loja,323.7,1.042,37.2,3,10,2.1,camion liviano,30.0,66.8,0,1
ENT-02904,Macara,614.0,3.835,40.5,7,8,1.8,camioneta,13.0,84.0,4,1
ENT-01269,Zamora,177.2,0.602,23.4,6,9,1.1,camioneta,,40.8,0,1
ENT-02253,Zamora,183.7,0.647,51.1,3,10,1.4,camioneta,62.0,64.3,3,1
ENT-01290,Saraguro,653.2,2.916,71.4,6,9,0.2,camion liviano,40.0,56.1,4,1
ENT-01299,LOJA,159.5,0.575,43.2,3,9,1.5,camion liviano,43.0,53.7,6,1
ENT-02448,Machala,515.0,3.091,89.4,6,12,5.8,camioneta,66.0,77.5,3,1
ENT-00462,Catamayo,115.9,0.528,56.1,10,11,3.9,camioneta,123.0,77.5,1,0
ENT-01741,Saraguro,200.1,0.98,35.8,1,6,3.3,camioneta,56.0,50.5,1,1
ENT-01511,Macara,189.9,0.758,30.1,3,5,0.6,camioneta,6.0,10.2,0,0
ENT-00158,Saraguro,354.3,1.209,18.6,4,6,0.6,camion liviano,63.0,34.7,0,0
ENT-00904,Macara,297.9,1.304,34.6,9,13,0.0,camioneta,63.0,51.2,0,1
ENT-02004,Saraguro,168.8,1.093,33.1,4,10,6.5,camioneta,101.0,24.2,1,1
ENT-02951,loja,247.0,0.981,132.2,4,9,3.2,camioneta,33.0,49.7,3,1
ENT-00678,Zamora,224.9,1.157,74.9,7,5,3.8,camioneta,,72.6,0,1
ENT-01761,Catamayo,46.9,0.201,23.9,3,8,2.5,camioneta,63.0,70.5,0,0
ENT-02412,Macara,401.4,2.841,53.3,8,6,0.0,camioneta,,43.4,0,0
ENT-00239,Cariamanga,531.8,2.028,2.8,2,10,0.3,camion liviano,124.0,58.6,0,0
ENT-00882,Macara,242.8,0.944,181.5,1,9,1.2,camioneta,10.0,67.5,2,1
ENT-01400,Saraguro,91.6,0.313,11.8,6,11,0.0,camion liviano,40.0,44.4,0,0
ENT-00244,Zamora,117.8,0.402,46.3,8,10,3.9,camion liviano,,58.5,0,0
ENT-00101,Zamora,219.0,0.888,2.1,2,11,1.8,camion liviano,104.0,83.4,1,0
ENT-00316,Machala,172.7,0.614,9.3,4,9,0.0,camioneta,,43.4,0,0
ENT-00912,Saraguro,588.6,2.466,40.4,9,7,0.0,camion pesado,,72.2,2,1
ENT-01098,Loja ,101.9,0.319,51.2,2,6,2.1,camioneta,15.0,55.6,0,0
ENT-01002,Macara,311.8,1.075,11.2,6,5,0.0,camioneta,63.0,57.0,1,1
ENT-00980,Loja,205.3,1.064,128.1,12,5,,camion liviano,40.0,52.9,0,0
ENT-00262,Loja,168.6,1.202,109.2,5,12,,camion liviano,44.0,83.4,0,0
ENT-02005,Machala,286.9,1.26,30.2,8,8,0.7,camioneta,31.0,48.7,0,1
ENT-01726,Machala,493.3,3.241,8.0,4,8,1.4,camioneta,32.0,76.1,0,0
ENT-00196,Machala,356.2,1.924,53.5,6,15,1.2,camion liviano,37.0,17.7,0,1
ENT-01862,Macara,236.6,0.864,23.7,1,10,2.5,camion pesado,46.0,68.5,1,1
ENT-01779,Macara,604.3,2.136,54.5,3,8,4.0,camioneta,33.0,63.2,2,1
ENT-01821,Cariamanga,672.2,3.45,70.3,2,7,10.0,camion pesado,76.0,62.7,5,1
ENT-00180,Catamayo,221.0,1.408,42.4,2,10,2.9,camioneta,36.0,53.8,0,0
ENT-01599,Machala,84.0,0.419,52.5,3,12,1.0,camion liviano,52.0,9.7,0,0
ENT-02365,Cariamanga,78.9,0.317,71.7,6,7,2.1,camion liviano,18.0,70.2,2,1
ENT-02296,Saraguro,157.1,0.791,47.5,3,11,2.3,camion liviano,54.0,47.8,2,1
ENT-02229,Machala,107.4,0.37,30.1,5,8,1.2,camioneta,69.0,75.9,0,0
ENT-00341,Catamayo,819.6,3.431,49.2,11,9,2.5,camion liviano,67.0,51.0,1,0
ENT-02160,Zamora,448.1,1.88,10.8,4,13,1.9,camion liviano,95.0,92.0,2,1
ENT-01232,Saraguro,157.3,0.908,69.1,3,13,0.3,camion liviano,23.0,16.5,0,0
ENT-00749,Loja,521.0,1.947,32.6,6,7,0.4,camioneta,81.0,83.7,0,0
ENT-02645,Loja,233.7,0.998,19.7,7,4,4.6,camioneta,53.0,89.5,1,1
ENT-00663,machala,291.7,1.436,86.5,5,7,,camioneta,,50.7,1,1
ENT-00481,Loja,396.7,1.539,69.3,2,11,0.0,camion liviano,,48.7,0,0
ENT-00804,Catamayo,132.1,0.803,8.2,8,9,1.0,camion liviano,36.0,72.4,3,1
ENT-02944,Machala,438.4,2.779,11.8,11,6,1.3,camioneta,,67.0,3,1
ENT-02699,MACARA,404.0,2.719,54.6,5,4,8.2,camioneta,66.0,65.5,0,0
ENT-01412,Catamayo,111.5,0.382,56.1,7,6,,camion liviano,,77.8,2,1
ENT-02484,Macara,874.0,4.363,106.6,3,8,2.2,camioneta,15.0,57.4,4,1
ENT-00550,Catamayo,33.1,0.16,23.6,2,9,2.7,camion pesado,36.0,60.8,0,1
ENT-01499,Saraguro,382.0,1.882,63.1,4,10,0.9,camioneta,79.0,62.3,0,0
ENT-00784,MACARA,58.1,0.347,13.7,4,11,1.1,camioneta,,86.2,0,0
ENT-02764,Machala,193.6,0.742,19.3,5,7,0.0,camioneta,25.0,66.8,0,0
ENT-02226,Machala,212.0,0.805,51.2,11,10,0.7,camion liviano,23.0,54.6,4,1
ENT-00743,Loja,73.5,0.252,20.3,8,11,2.0,camioneta,12.0,72.4,0,0
ENT-02464,Cariamanga,612.3,2.736,52.7,13,11,0.9,camioneta,59.0,44.2,2,1
ENT-01790,Saraguro,314.5,2.018,35.7,2,10,5.8,camioneta,37.0,51.0,0,0
ENT-02852,Cariamanga,164.5,0.591,36.3,12,8,0.0,camion liviano,26.0,66.6,3,1
ENT-01967,Machala,183.2,0.847,8.8,9,8,0.2,camioneta,,52.2,2,1
ENT-02002,Saraguro,267.4,1.695,24.7,4,8,0.0,camion liviano,41.0,84.4,2,1
ENT-02882,Loja,215.4,0.796,88.3,9,6,0.1,camion pesado,,72.5,1,1
ENT-02354,Cariamanga,138.8,0.591,11.2,8,10,1.7,camioneta,60.0,30.2,0,0
ENT-01069,Machala,196.7,0.859,37.0,2,6,2.7,camioneta,19.0,63.4,1,1
ENT-00248,LOJA,402.5,1.622,3.4,4,9,1.6,camion pesado,37.0,56.9,2,1
ENT-02120,machala,235.1,0.905,53.4,9,10,0.7,camion pesado,,73.6,0,1
ENT-01189,Machala,232.9,1.23,13.1,3,11,0.4,camion liviano,,78.2,2,1
ENT-02776,Zamora,304.1,1.075,57.8,11,8,1.6,camion pesado,65.0,33.4,2,1
ENT-00627,Zamora,192.3,0.605,109.3,2,10,2.3,camioneta,18.0,82.4,0,0
ENT-00348,Loja,477.4,1.82,16.4,4,5,4.6,camioneta,,29.0,1,1
ENT-00279,Saraguro,474.9,1.892,33.5,1,8,0.0,camion liviano,,71.0,3,1
ENT-02205,Machala,449.6,2.216,31.7,1,9,3.3,camion liviano,59.0,38.5,0,1
ENT-02721,Catamayo,333.2,1.476,46.4,6,9,4.2,camion liviano,70.0,50.3,4,1
ENT-00656,Cariamanga,50.7,0.23,57.9,2,11,0.1,camioneta,,78.4,0,0
ENT-02874,Macara,52.1,0.2,37.6,4,11,0.7,camion liviano,56.0,17.2,0,0
ENT-01322,Loja,340.2,1.236,39.6,4,9,0.0,camioneta,114.0,56.1,3,1
ENT-02679,MACARA,360.4,2.023,45.7,5,8,1.1,camioneta,,78.1,0,0
ENT-02642,Loja,322.4,2.024,48.3,6,10,0.4,camioneta,104.0,61.9,1,1
ENT-02112,loja,356.5,1.352,16.7,1,10,0.0,camioneta,51.0,90.3,0,0
ENT-01794,Catamayo,725.9,2.931,51.5,6,6,0.1,camion pesado,11.0,21.2,2,1
ENT-01816,Macara,501.8,3.234,29.6,6,10,2.4,camioneta,41.0,90.2,0,0
ENT-02431,Machala,275.0,0.896,58.1,13,9,0.0,camion liviano,,79.2,2,1
ENT-00446,Catamayo,369.4,1.509,61.3,4,5,1.7,camioneta,31.0,22.3,1,0
ENT-00618,Loja,222.1,1.175,20.2,4,8,0.4,camioneta,,66.2,0,0
ENT-01287,Catamayo,366.4,1.962,2.5,8,8,0.3,camion liviano,,92.9,0,0
ENT-01660,Cariamanga,417.3,2.685,25.7,4,9,3.1,camioneta,32.0,94.2,0,1
ENT-01129,Loja,89.8,0.338,75.6,1,11,0.7,camioneta,18.0,8.6,0,0
ENT-01191,Saraguro,332.9,1.539,29.4,7,10,3.1,camioneta,27.0,39.7,0,0
ENT-01642,Zamora,252.9,1.292,134.0,19,14,0.0,camion liviano,71.0,21.5,3,1
ENT-00845,Macara,358.3,2.145,36.0,2,8,0.1,camioneta,35.0,99.4,1,1
ENT-02606,Catamayo,493.5,2.854,32.8,3,7,0.0,camion liviano,127.0,87.8,2,1
ENT-00548,loja,145.2,0.609,20.2,2,11,2.8,camioneta,29.0,75.7,0,0
ENT-01861,Macara,756.7,3.2,26.3,10,9,1.4,camioneta,,40.5,0,0
ENT-02891,MACARA,26.7,0.127,82.5,7,7,2.2,camion liviano,,54.4,0,0
ENT-02992,Cariamanga,230.6,1.4,20.0,16,9,3.8,camion liviano,,59.9,2,1
ENT-00264,Loja,176.5,0.805,9.4,5,8,6.9,camion pesado,57.0,27.5,1,1
ENT-02191,Machala,377.7,1.583,30.2,4,10,3.2,camion pesado,29.0,39.2,3,1
ENT-02401,Loja,165.2,0.678,71.1,6,8,3.3,camion pesado,,46.7,0,1
ENT-02532,Loja,230.3,1.249,23.7,2,9,7.2,camioneta,12.0,51.8,0,0
ENT-00354,Saraguro,167.3,0.701,45.1,2,9,1.4,camioneta,,30.3,4,1
ENT-00966,Machala,608.5,3.005,38.7,1,11,2.1,camion pesado,44.0,31.2,1,0
ENT-00209,LOJA,678.8,3.757,10.3,3,10,2.0,camioneta,26.0,37.1,1,1
ENT-00614,Macara,115.1,0.435,80.4,3,11,0.5,camioneta,46.0,75.8,0,0
ENT-01100,Zamora,196.7,0.678,47.9,2,9,4.9,camion liviano,75.0,80.4,2,1
ENT-02288,Cariamanga,247.8,1.337,27.0,5,11,2.9,camion liviano,138.0,69.9,0,0
ENT-01577,Machala,46.3,0.21,5.6,5,9,0.0,camioneta,,55.0,0,0
ENT-01966,Machala,405.2,1.681,45.6,3,13,4.2,camion pesado,20.0,77.6,0,0
ENT-01201,Zamora,191.5,0.651,23.0,9,7,3.4,camioneta,29.0,25.1,0,1
ENT-01838,Loja,339.7,1.964,69.6,1,7,1.2,camioneta,69.0,78.7,0,0
ENT-01581,Zamora,197.7,1.325,100.3,3,4,0.0,camioneta,48.0,56.1,0,0
ENT-00058,Machala,154.0,0.816,10.7,3,5,11.5,camioneta,23.0,20.4,3,1
ENT-01207,Macara,304.9,1.072,53.4,3,10,1.0,camion pesado,,31.0,0,0
ENT-00812,Cariamanga,203.1,1.207,8.0,18,13,1.6,camioneta,,83.3,2,1
ENT-02884,Loja,386.0,1.452,27.6,4,7,0.9,camion liviano,35.0,88.1,2,0
ENT-00562,Saraguro,188.4,1.21,59.1,6,9,4.7,camion liviano,129.0,51.7,0,0
ENT-02091,Machala,100.0,0.358,39.0,8,5,1.1,camion liviano,,48.6,0,0
ENT-00230,Loja,157.9,0.522,56.9,3,10,5.8,camioneta,45.0,40.1,1,1
ENT-02561,Machala,393.5,2.137,34.1,11,6,2.4,camioneta,24.0,67.4,1,1
ENT-02896,Cariamanga,61.8,0.333,6.7,5,15,0.9,camioneta,,34.4,0,0
ENT-02977,Zamora,145.8,0.591,12.6,5,9,5.5,camioneta,22.0,32.5,3,1
ENT-00539,Machala,129.1,0.877,18.7,4,10,8.4,camion liviano,62.0,94.5,1,1
ENT-01886,Macara,399.1,1.361,70.9,4,8,3.0,camion liviano,,32.4,1,1
ENT-01134,machala,496.4,1.738,12.9,7,7,0.0,camion liviano,,78.1,0,0
ENT-00394,Catamayo,300.4,1.535,20.1,2,8,3.3,camion liviano,72.0,83.9,1,0
ENT-01360,Catamayo,178.8,1.027,58.9,2,14,5.0,camion liviano,83.0,38.5,0,0
ENT-02650,Catamayo,245.7,0.862,30.0,8,8,0.9,camioneta,61.0,46.6,0,1
ENT-01115,Zamora,270.1,0.892,88.9,4,8,17.8,camioneta,53.0,80.0,0,0
ENT-00708,Zamora,100.5,0.406,13.1,15,14,0.0,camion pesado,29.0,55.3,1,1
ENT-00425,Saraguro,115.4,0.477,80.3,3,8,5.7,camioneta,61.0,46.6,3,1
ENT-00070,Loja,78.0,0.4,8.4,9,9,2.5,camioneta,47.0,53.6,0,1
ENT-02297,Macara,610.4,2.174,27.5,1,9,0.5,camion liviano,88.0,66.5,4,1
ENT-01217,Machala,665.7,2.911,10.0,3,16,0.4,camioneta,55.0,82.5,0,0
ENT-00648,Zamora,144.5,0.695,60.7,1,14,,camion liviano,134.0,46.2,1,0
ENT-01770,Macara,188.4,0.805,19.6,10,10,2.9,camioneta,35.0,57.5,0,0
ENT-01365,Zamora,675.0,2.243,89.7,2,9,1.4,camioneta,38.0,82.6,1,0
ENT-00999,Loja,449.0,2.503,18.7,9,12,0.3,camioneta,,22.7,3,1
ENT-02342,Macara,157.9,1.01,17.5,9,9,0.0,camioneta,46.0,59.6,0,1
ENT-02635,Loja,588.4,2.803,36.6,10,9,0.1,camion pesado,14.0,55.7,0,1
ENT-01128,Macara,319.6,2.213,57.5,9,6,0.0,camion liviano,40.0,62.7,0,0
ENT-01666,Machala,397.8,2.539,33.8,5,11,0.0,camioneta,25.0,8.5,0,1
ENT-00621,Loja,254.1,0.945,60.1,4,12,0.0,camion liviano,34.0,50.5,0,1
ENT-01643,Macara,473.2,1.664,22.3,5,5,0.0,camion liviano,,90.5,0,0
ENT-01264,Catamayo,145.4,0.473,29.8,5,13,1.3,camion liviano,63.0,54.2,1,0
ENT-02931,Loja,253.4,0.991,30.8,5,11,3.5,camioneta,58.0,30.2,0,0
ENT-01091,Macara,241.6,1.545,38.0,4,15,0.6,camion liviano,20.0,65.0,3,1
ENT-01585,Catamayo,355.0,1.762,15.9,6,9,9.7,camioneta,70.0,95.6,2,1
ENT-01118,Cariamanga,218.3,0.703,72.4,2,9,4.8,camioneta,,62.7,0,1
ENT-02414,Catamayo,682.8,4.199,25.2,3,6,3.6,camion liviano,39.0,18.0,2,1
ENT-02719,Macara,749.8,2.724,14.3,3,9,0.0,camion liviano,7.0,69.4,6,1
ENT-01469,Macara,120.0,0.548,23.4,4,12,0.3,camion liviano,96.0,85.8,4,1
ENT-00280,Machala,61.7,0.253,6.5,2,8,2.1,camion liviano,75.0,64.9,0,0
ENT-01289,Cariamanga,258.9,1.333,5.1,11,9,2.9,camioneta,26.0,34.1,1,1
ENT-01583,Saraguro,123.2,0.399,3.6,3,9,0.0,camion liviano,25.0,50.4,0,0
ENT-01584,Zamora,268.9,0.86,40.9,5,7,0.4,camioneta,,11.1,0,1
ENT-01004,Machala,526.8,2.49,58.2,7,9,0.0,camioneta,,67.0,1,1
ENT-01019,Catamayo,289.9,1.022,13.1,11,11,0.8,camioneta,20.0,33.5,0,0
ENT-01731,Machala,444.4,1.477,15.5,12,9,7.5,camion liviano,75.0,73.7,0,0
ENT-00554,Loja,266.4,0.882,16.4,5,9,,camioneta,25.0,53.8,0,0
ENT-00835,Machala,57.7,0.246,39.0,11,15,0.0,camion liviano,,76.1,2,1
ENT-00658,Catamayo,232.4,0.903,23.1,4,8,2.1,camion liviano,33.0,67.4,0,0
ENT-00597,Cariamanga,590.1,2.707,129.1,3,8,0.9,camion pesado,62.0,74.5,0,0
ENT-02801,Saraguro,100.6,0.352,14.4,12,9,0.0,camioneta,39.0,23.2,0,0
ENT-00803,Catamayo,152.3,0.902,99.1,4,4,3.6,camioneta,3.0,95.1,1,1
ENT-02182,Cariamanga,370.0,1.343,13.5,4,9,,camioneta,33.0,82.4,2,1
ENT-01548,Zamora,117.2,0.626,47.0,7,9,0.0,camioneta,86.0,65.0,1,1
ENT-02542,Cariamanga,576.8,3.454,26.3,7,12,0.3,camion pesado,80.0,38.3,1,1
ENT-02775,Zamora,223.8,0.81,17.5,3,11,5.6,camion pesado,34.0,18.2,0,0
ENT-00441,Loja,462.0,2.433,21.2,8,9,1.3,camion liviano,53.0,93.6,0,0
ENT-00509,Machala,373.7,2.494,28.1,3,12,0.7,camion pesado,,85.2,0,1
ENT-00077,Catamayo,104.7,0.532,122.6,6,6,0.5,camioneta,,37.2,1,0
ENT-01996,Loja,388.8,2.711,26.6,9,8,1.0,camion pesado,61.0,35.4,1,0
ENT-01533,Cariamanga,480.6,2.002,69.9,6,13,0.0,camioneta,,42.8,0,0
ENT-00650,Macara,494.3,1.569,11.3,9,5,1.0,camioneta,33.0,71.0,1,1
ENT-00523,Catamayo,84.3,0.424,38.1,3,10,2.2,camion liviano,47.0,64.5,2,1
ENT-01564,Saraguro,113.1,0.427,70.1,2,8,4.0,camion pesado,41.0,37.0,3,1
ENT-01941,Saraguro,167.4,0.727,52.8,7,13,0.1,camioneta,71.0,82.4,0,0
ENT-02152,Cariamanga,143.8,0.564,7.8,8,9,0.4,camioneta,100.0,16.0,0,0
ENT-00655,loja,567.1,2.138,77.7,19,10,,camion liviano,,42.1,1,1
ENT-01243,Saraguro,319.8,1.107,128.7,2,11,8.4,camion pesado,60.0,53.7,2,1
ENT-01619,Machala,241.5,0.811,29.9,5,11,3.0,camion liviano,,67.4,1,1
ENT-01261,Loja,562.3,2.297,72.6,4,10,3.4,camion liviano,49.0,81.4,2,1
ENT-00977,Cariamanga,299.9,0.995,23.5,2,11,14.1,camion pesado,19.0,59.2,1,1
ENT-02568,Zamora,481.3,1.546,72.3,6,7,2.9,camion liviano,,46.9,3,1
ENT-00631,Catamayo,324.0,1.131,83.1,2,7,5.0,camion pesado,15.0,75.5,0,1
ENT-01324,Machala,144.3,0.856,71.3,1,12,2.6,camion liviano,31.0,94.9,3,1
ENT-01587,Zamora,268.4,1.244,82.6,1,7,1.2,camion liviano,28.0,47.8,0,0
ENT-01755,Cariamanga,564.1,2.184,14.5,3,8,0.0,camioneta,,40.2,0,0
ENT-00483,Macara,103.1,0.51,54.2,3,6,0.5,camion pesado,46.0,32.0,1,1
ENT-02020,MACARA,123.5,0.426,23.1,2,14,0.1,camioneta,88.0,59.3,1,1
ENT-02426,Machala,149.6,0.499,38.4,4,11,2.7,camioneta,5.0,81.0,0,0
ENT-02617,Machala,350.4,2.014,98.7,1,8,0.3,camioneta,,36.8,0,0
ENT-02487,Zamora,109.9,0.446,24.8,2,8,3.5,camioneta,73.0,47.3,0,0
ENT-00439,Catamayo,77.6,0.282,46.5,12,10,0.2,camion pesado,17.0,43.0,3,1
ENT-02130,Cariamanga,376.1,1.199,6.7,8,9,0.0,camioneta,4.0,69.2,1,1
ENT-00970,Catamayo,217.5,0.957,36.7,3,9,0.0,camioneta,83.0,67.7,0,1
ENT-01802,Machala,182.8,1.0,63.6,4,10,0.1,camioneta,,83.5,1,1
ENT-01917,Cariamanga,167.0,0.9,51.9,9,7,,camioneta,23.0,40.1,0,1
ENT-01621,Zamora,622.3,2.463,6.1,2,9,3.4,camioneta,,36.9,0,1
ENT-00857,Zamora,107.8,0.505,33.4,12,9,0.0,camioneta,,78.7,2,1
ENT-02065,Cariamanga,501.8,3.02,36.5,5,12,,camioneta,51.0,45.4,1,0
ENT-00167,Zamora,120.7,0.723,23.0,5,8,1.7,camioneta,25.0,82.8,0,0
ENT-00060,Cariamanga,252.6,0.843,59.9,3,5,5.0,camion liviano,59.0,52.3,2,1
ENT-00612,Loja,142.4,0.466,73.4,9,9,2.3,camion pesado,112.0,87.0,2,1
ENT-00531,Cariamanga,315.0,1.332,41.9,3,11,0.0,camion liviano,,42.7,1,1
ENT-01792,Saraguro,657.4,3.775,75.6,2,7,4.8,camion liviano,,44.0,1,1
ENT-00050,Loja,88.1,0.377,179.1,3,6,0.5,camion pesado,28.0,17.8,1,1
ENT-01558,Saraguro,158.5,0.65,21.5,6,7,0.0,camion liviano,58.0,32.0,1,0
ENT-01212,Machala,342.4,1.195,24.2,5,9,0.6,camion liviano,83.0,27.2,0,0
ENT-00859,Machala,642.3,2.554,11.9,8,10,7.6,camion liviano,127.0,71.5,2,1
ENT-01830,Loja,588.2,3.094,35.5,1,10,0.0,camioneta,92.0,56.1,1,0
ENT-00049,Cariamanga,341.5,1.43,166.9,3,9,3.3,camion liviano,51.0,80.0,1,1
ENT-00720,Loja,383.6,1.407,21.7,3,10,3.1,camioneta,147.0,57.8,0,0
ENT-01238,Catamayo,342.8,2.142,9.8,3,7,3.0,camioneta,27.0,56.2,1,1
ENT-01445,Saraguro,239.6,0.867,12.2,7,6,0.4,camion liviano,,31.2,0,0
ENT-02294,loja,242.1,0.785,36.7,6,9,6.0,camion pesado,50.0,38.1,2,1
ENT-01226,Zamora,303.8,1.248,123.8,5,7,2.0,camioneta,44.0,65.5,0,1
ENT-00633,machala,113.5,0.504,40.3,5,9,0.0,camioneta,,4.4,1,0
ENT-02485,Catamayo,672.4,2.239,61.5,2,11,0.0,camion liviano,71.0,34.3,0,0
ENT-01539,Loja,225.9,1.035,60.2,7,9,2.3,camioneta,,85.1,0,0
ENT-02173,Loja,272.6,1.627,53.4,4,10,6.9,camioneta,,81.5,0,0
ENT-01074,Loja,309.8,1.74,17.7,10,10,0.0,camion liviano,12.0,65.6,2,1
ENT-01548,Zamora,117.2,0.626,47.0,7,9,0.0,camioneta,86.0,65.0,1,1
ENT-01353,Loja ,320.3,1.397,40.1,2,13,4.6,camioneta,8.0,35.0,0,0
ENT-01870,Saraguro,417.1,2.694,15.6,9,12,0.3,camion liviano,68.0,51.2,2,1
ENT-01054,Macara,359.9,1.394,21.4,7,5,0.0,camioneta,17.0,82.0,0,1
ENT-01746,Loja,247.1,1.331,29.8,6,5,3.4,camioneta,27.0,36.6,2,1
ENT-02186,Catamayo,53.2,0.205,48.4,5,6,3.1,camion pesado,58.0,52.3,0,0
ENT-02684,Saraguro,298.4,1.128,33.2,3,9,0.0,camioneta,,57.0,0,0
ENT-01555,Machala,231.6,0.882,68.9,7,8,5.5,camion liviano,15.0,31.7,1,1
ENT-00298,Catamayo,332.5,1.622,19.7,3,8,0.4,camion liviano,17.0,78.3,0,0
ENT-02581,Catamayo,209.6,0.824,59.0,3,10,,camioneta,65.0,58.6,0,1
ENT-01865,Cariamanga,391.7,1.827,30.7,12,10,0.3,camion liviano,31.0,77.8,3,1
ENT-00959,Cariamanga,207.9,0.754,32.3,3,7,,camion liviano,67.0,50.2,0,0
ENT-02664,Macara,219.9,1.256,72.0,4,99,0.0,camion liviano,89.0,86.3,1,1
