volumen_mensual,frecuencia_pedidos_mes,distancia_bodega_km,sku_distintos,morosidad_dias,canal_recomendado
2993,10,15.3,35,11,vendedor_ruta
4985,8,5.5,82,11,distribuidor
1090,10,24.6,50,3,vendedor_ruta
3452,11,87.0,47,9,vendedor_ruta
2557,9,9.1,121,4,distribuidor
841,3,116.0,51,25,autoservicio
1616,2,44.3,130,10,autoservicio
6942,15,56.6,75,3,distribuidor
3335,1,56.4,59,13,distribuidor
2403,10,33.3,5,11,vendedor_ruta
1112,8,17.4,146,4,autoservicio
270,10,6.7,65,8,autoservicio
655,4,9.3,5,2,autoservicio
1805,10,36.6,103,14,vendedor_ruta
1806,10,18.0,63,8,vendedor_ruta
3905,20,10.3,30,2,vendedor_ruta
922,10,29.4,100,8,autoservicio
863,14,31.9,5,4,vendedor_ruta
2582,3,41.6,38,14,autoservicio
1384,13,12.4,54,4,vendedor_ruta
1372,10,22.4,97,4,vendedor_ruta
3667,10,12.7,150,15,distribuidor
822,10,7.9,56,1,autoservicio
3333,16,50.3,82,10,vendedor_ruta
2384,10,47.9,169,18,vendedor_ruta
1284,6,4.8,65,4,vendedor_ruta
1768,7,25.5,83,9,vendedor_ruta
998,12,55.4,18,1,autoservicio
1573,11,42.7,139,11,vendedor_ruta
4819,3,11.2,38,4,distribuidor
1082,11,59.6,75,21,autoservicio
428,5,55.4,74,9,autoservicio
1804,11,31.1,68,7,autoservicio
4312,6,19.8,48,20,vendedor_ruta
2085,8,11.1,74,6,distribuidor
1506,7,24.4,132,6,autoservicio
1459,15,65.5,152,7,vendedor_ruta
3394,11,11.4,58,3,vendedor_ruta
2259,14,69.5,48,2,vendedor_ruta
2578,21,41.2,34,5,vendedor_ruta
1972,9,24.4,167,4,distribuidor
3048,15,55.7,70,0,vendedor_ruta
4819,6,23.9,107,8,vendedor_ruta
5178,14,21.1,91,1,distribuidor
1783,6,48.8,149,5,distribuidor
2233,9,25.2,56,12,vendedor_ruta
4693,11,23.9,23,12,vendedor_ruta
1969,12,15.0,136,3,vendedor_ruta
3365,4,20.7,99,2,distribuidor
947,6,75.1,82,4,vendedor_ruta
1054,11,1.7,123,10,vendedor_ruta
5516,8,11.1,85,2,distribuidor
2886,3,13.1,125,2,distribuidor
1630,9,22.5,74,2,vendedor_ruta
1232,9,19.7,99,12,autoservicio
1462,10,28.3,85,1,vendedor_ruta
678,11,2.9,53,1,autoservicio
2735,11,28.0,57,7,vendedor_ruta
2562,6,74.8,50,12,autoservicio
2523,7,25.2,75,16,distribuidor
4063,13,20.2,48,1,vendedor_ruta
1895,7,22.9,82,2,autoservicio
2387,7,18.1,80,22,vendedor_ruta
447,3,41.2,73,1,autoservicio
2904,9,31.4,73,35,vendedor_ruta
2602,10,29.8,43,2,vendedor_ruta
749,1,55.7,54,14,autoservicio
1634,5,41.5,5,10,autoservicio
3720,3,1.7,60,16,distribuidor
2339,12,17.8,28,3,vendedor_ruta
1163,1,7.5,69,1,autoservicio
2607,9,12.7,38,18,distribuidor
5201,12,15.2,5,0,vendedor_ruta
580,10,12.3,151,1,autoservicio
2839,7,42.8,56,2,vendedor_ruta
2279,10,38.0,120,10,vendedor_ruta
693,13,17.7,45,3,autoservicio
2349,9,37.0,130,4,distribuidor
1246,1,33.6,21,2,autoservicio
1516,14,26.8,72,4,vendedor_ruta
2616,11,21.8,23,2,distribuidor
2550,9,45.9,164,11,vendedor_ruta
2517,1,23.9,56,40,distribuidor
6923,8,29.2,96,5,distribuidor
1683,5,27.7,82,13,autoservicio
818,4,15.7,64,1,autoservicio
2860,8,15.0,85,6,distribuidor
2269,7,20.7,117,0,vendedor_ruta
1292,7,42.3,90,0,autoservicio
1229,12,22.4,71,14,vendedor_ruta
4228,10,3.8,85,11,vendedor_ruta
311,7,31.3,138,9,autoservicio
2236,7,16.3,49,9,autoservicio
1194,7,12.2,5,5,autoservicio
2443,8,39.5,23,5,vendedor_ruta
1060,11,39.3,26,1,autoservicio
2481,5,27.0,32,1,autoservicio
3585,15,19.6,33,4,vendedor_ruta
1317,11,16.8,64,17,autoservicio
1462,1,7.5,74,15,autoservicio
2421,9,1.7,74,3,distribuidor
3018,13,17.8,37,15,vendedor_ruta
6140,11,18.1,103,0,distribuidor
1485,7,11.4,85,19,autoservicio
1462,9,55.6,125,10,autoservicio
865,10,15.8,97,1,autoservicio
229,12,26.7,52,10,autoservicio
3606,3,30.9,115,8,vendedor_ruta
1738,7,34.0,75,2,autoservicio
841,16,14.2,95,4,vendedor_ruta
3266,9,19.2,92,7,distribuidor
3434,15,24.8,60,1,distribuidor
2856,21,14.2,69,2,vendedor_ruta
1449,7,52.0,60,8,vendedor_ruta
2297,4,96.9,33,20,autoservicio
954,8,30.3,5,3,autoservicio
2949,13,30.1,39,1,vendedor_ruta
1266,14,49.5,73,0,vendedor_ruta
3867,18,42.5,106,12,vendedor_ruta
2640,9,24.0,95,3,vendedor_ruta
711,11,71.5,54,5,autoservicio
3612,6,14.8,39,4,vendedor_ruta
3433,1,39.8,58,20,vendedor_ruta
3150,9,19.0,28,3,vendedor_ruta
3259,4,32.9,5,8,vendedor_ruta
1903,12,17.5,6,3,vendedor_ruta
2270,1,70.0,117,2,autoservicio
1664,6,51.2,136,7,distribuidor
443,10,31.7,94,14,autoservicio
2612,10,42.9,63,0,vendedor_ruta
573,9,11.5,12,3,autoservicio
863,16,6.3,59,2,vendedor_ruta
1217,15,14.4,88,4,vendedor_ruta
1984,6,68.7,97,10,distribuidor
5411,15,17.5,91,1,distribuidor
1209,16,44.9,111,8,autoservicio
5682,9,20.4,139,1,distribuidor
3371,9,21.4,50,4,distribuidor
2407,9,17.7,172,7,distribuidor
1112,6,16.7,5,10,vendedor_ruta
2004,7,42.7,35,8,autoservicio
2115,14,17.0,73,11,vendedor_ruta
2925,11,16.6,86,2,vendedor_ruta
1156,7,24.2,58,7,autoservicio
3437,5,19.2,46,2,distribuidor
1852,6,12.4,149,5,distribuidor
2607,8,39.4,44,0,vendedor_ruta
1751,13,28.5,26,3,vendedor_ruta
4173,6,16.1,129,4,distribuidor
905,13,12.4,97,11,vendedor_ruta
2314,10,50.2,107,0,vendedor_ruta
698,10,8.3,72,5,autoservicio
2745,13,35.9,13,1,vendedor_ruta
847,12,3.6,68,4,vendedor_ruta
1599,3,26.0,7,20,autoservicio
1469,5,26.6,74,10,vendedor_ruta
6543,8,7.0,90,5,distribuidor
1137,10,7.6,106,12,vendedor_ruta
3454,14,27.3,61,10,vendedor_ruta
219,9,7.3,93,3,autoservicio
1988,16,57.5,31,2,vendedor_ruta
4286,6,16.3,102,20,distribuidor
468,7,64.3,91,1,autoservicio
3359,8,55.1,35,2,distribuidor
1760,6,22.1,85,2,vendedor_ruta
298,14,27.9,106,9,autoservicio
3664,1,48.2,68,4,distribuidor
2831,7,9.7,34,23,vendedor_ruta
1019,14,17.5,72,6,vendedor_ruta
2942,8,63.2,86,26,vendedor_ruta
503,13,44.4,33,10,autoservicio
1272,18,20.0,27,6,vendedor_ruta
1954,9,28.1,85,17,distribuidor
1886,14,14.0,96,7,vendedor_ruta
2556,19,18.7,147,1,vendedor_ruta
6444,11,35.5,90,8,vendedor_ruta
839,9,18.7,19,8,autoservicio
2212,13,39.5,143,1,vendedor_ruta
2252,14,7.4,105,4,vendedor_ruta
3876,9,35.2,5,7,vendedor_ruta
1878,7,10.7,26,7,vendedor_ruta
400,16,21.6,46,13,vendedor_ruta
2067,8,13.3,97,25,vendedor_ruta
351,14,35.3,5,7,autoservicio
3651,10,8.1,60,7,vendedor_ruta
1938,16,39.9,95,13,vendedor_ruta
2488,6,24.0,5,0,distribuidor
918,6,20.2,93,3,autoservicio
954,12,14.8,98,4,autoservicio
2808,4,17.2,33,37,vendedor_ruta
1596,9,54.3,21,31,vendedor_ruta
1143,15,14.6,32,1,vendedor_ruta
4285,2,54.6,5,2,distribuidor
2103,11,66.5,53,6,vendedor_ruta
1263,14,19.8,73,0,vendedor_ruta
2189,9,6.3,19,3,vendedor_ruta
1430,5,45.8,102,25,autoservicio
2655,8,45.5,69,7,vendedor_ruta
875,6,55.1,75,4,autoservicio
3688,9,22.8,50,7,vendedor_ruta
1429,8,30.2,93,10,vendedor_ruta
678,7,17.0,114,7,autoservicio
749,11,16.5,50,3,autoservicio
1676,15,29.1,94,5,vendedor_ruta
1149,10,48.5,94,7,vendedor_ruta
572,14,41.5,81,3,vendedor_ruta
600,15,24.8,129,0,vendedor_ruta
1952,7,51.2,37,9,autoservicio
2272,10,8.3,49,2,vendedor_ruta
2044,7,103.2,35,1,autoservicio
4208,3,9.1,93,1,distribuidor
2488,10,23.3,55,12,vendedor_ruta
1252,5,28.8,39,9,autoservicio
8998,11,29.5,128,6,distribuidor
987,3,47.8,134,13,autoservicio
513,10,12.1,53,11,autoservicio
