id_cliente,canton,tipo_negocio,antiguedad_meses,frecuencia_pedidos_mes,ticket_promedio,sku_distintos,distancia_bodega_km,descuento_promedio,ventas_trimestre,recompra_90d,segmento
AND-0299,Loja,panaderia,25,9,45.58,46,28.4,6.7,1251.13,0,minimarket
AND-0300,Machala,panaderia,24,8,60.85,80,19.4,3.5,1685.33,0,minimarket
AND-0301,Loja,tienda de barrio,28,9,68.36,39,4.9,22.9,1717.73,1,minimarket
AND-0302,Loja,restaurante,21,6,18.16,9,19.1,1.6,288.94,0,barrio
AND-0303,Machala,minimarket,70,5,13.56,27,12.7,3.6,176.34,1,barrio
AND-0304,Macara,panaderia,65,6,13.34,42,41.3,18.9,197.63,0,barrio
AND-0305,Cariamanga,tienda de barrio,64,10,40.18,64,7.3,7.5,1426.69,1,minimarket
AND-0306,Cariamanga,tienda de barrio,31,5,12.2,29,7.5,6.4,176.84,0,barrio
AND-0307,Loja,minimarket,17,7,18.44,22,25.9,3.6,307.01,0,barrio
AND-0308,Zamora,minimarket,42,12,70.45,48,17.2,4.5,2619.92,1,minimarket
AND-0309,Loja,tienda de barrio,21,5,17.95,16,16.6,4.2,269.8,0,barrio
AND-0310,Machala,minimarket,44,7,10.95,7,75.2,15.3,204.15,0,barrio
AND-0311,Loja,minimarket,17,6,17.26,7,30.7,7.0,264.76,1,barrio
AND-0312,Cariamanga,tienda de barrio,32,7,17.37,27,15.0,6.6,309.59,0,barrio
AND-0313,Saraguro,tienda de barrio,47,9,28.55,9,4.3,12.0,846.83,1,barrio
AND-0314,Loja,tienda de barrio,22,7,13.06,26,14.3,4.4,278.44,0,barrio
AND-0315,Catamayo,panaderia,22,3,16.52,6,6.6,6.9,154.03,0,barrio
AND-0316,Zamora,minimarket,10,7,26.2,26,9.1,8.0,550.51,0,barrio
AND-0317,Loja,minimarket,17,8,19.87,16,9.3,11.0,476.58,0,barrio
AND-0318,Machala,restaurante,30,10,62.26,77,39.1,8.9,1697.3,0,minimarket
AND-0319,Loja,minimarket,33,8,18.46,26,5.4,10.6,413.76,0,barrio
AND-0320,Cariamanga,tienda de barrio,36,15,225.81,155,36.5,21.7,10836.16,1,mayorista
AND-0321,Cariamanga,minimarket,7,14,249.18,131,26.7,0.3,12563.96,0,mayorista
AND-0322,Saraguro,restaurante,21,6,15.06,23,26.4,2.2,229.3,0,barrio
AND-0323,Cariamanga,tienda de barrio,10,3,21.84,10,8.7,4.7,187.85,0,barrio
AND-0324,Macara,minimarket,30,6,13.31,17,33.2,2.2,264.94,1,barrio
AND-0325,Cariamanga,tienda de barrio,8,12,59.12,57,7.9,4.2,2674.38,0,minimarket
AND-0326,Saraguro,panaderia,13,7,57.21,51,50.3,1.2,1507.61,0,minimarket
AND-0327,Cariamanga,minimarket,40,8,48.03,45,39.7,5.1,1019.04,1,minimarket
AND-0328,Catamayo,restaurante,18,4,17.91,5,56.0,17.5,236.59,0,barrio
AND-0329,Loja,minimarket,53,10,47.96,32,19.9,3.8,1428.62,0,minimarket
AND-0330,Loja,tienda de barrio,36,5,14.22,9,17.2,10.4,234.55,0,barrio
AND-0331,Cariamanga,tienda de barrio,22,12,50.88,68,14.0,14.4,1916.94,1,minimarket
AND-0332,Machala,restaurante,43,8,14.12,5,74.2,9.8,276.69,0,barrio
AND-0333,Loja,tienda de barrio,23,11,59.05,44,29.8,2.3,2074.56,0,minimarket
AND-0334,Saraguro,tienda de barrio,38,10,42.7,81,6.7,14.7,1377.38,1,minimarket
AND-0335,Loja,minimarket,17,7,21.05,14,46.5,3.3,435.3,0,barrio
AND-0336,Cariamanga,tienda de barrio,44,9,42.41,64,16.7,6.1,1082.97,1,minimarket
AND-0337,Macara,tienda de barrio,9,7,15.89,30,1.1,18.7,252.46,1,barrio
AND-0338,Macara,tienda de barrio,13,8,47.94,68,10.5,1.7,1249.27,0,minimarket
AND-0339,Macara,tienda de barrio,14,7,24.09,5,39.7,16.5,486.82,1,barrio
AND-0340,Zamora,minimarket,18,18,225.83,137,26.8,8.9,10446.81,1,mayorista
AND-0341,Loja,tienda de barrio,31,6,17.18,5,30.6,8.1,287.18,0,barrio
AND-0342,Saraguro,tienda de barrio,26,16,234.35,169,46.2,5.7,11225.41,1,mayorista
AND-0343,Loja,panaderia,39,11,34.6,41,3.6,20.8,976.87,1,minimarket
AND-0344,Machala,tienda de barrio,48,5,54.48,47,10.6,9.4,787.93,1,minimarket
AND-0345,Zamora,minimarket,8,10,85.35,48,20.2,18.2,1896.75,0,minimarket
AND-0346,Loja,tienda de barrio,51,10,56.62,42,40.5,2.4,2005.62,1,minimarket
AND-0347,Loja,tienda de barrio,23,16,213.16,156,7.8,0.4,10237.09,1,mayorista
AND-0348,Catamayo,minimarket,63,7,20.31,51,14.9,16.0,346.96,1,barrio
AND-0349,Machala,minimarket,16,10,66.98,54,19.3,9.1,1408.39,0,minimarket
AND-0350,Loja,restaurante,7,4,11.6,6,10.1,2.6,157.54,0,barrio
AND-0351,Cariamanga,tienda de barrio,37,10,37.99,33,19.1,10.7,1175.03,1,minimarket
AND-0352,Catamayo,tienda de barrio,35,6,18.85,19,17.1,20.7,320.96,0,barrio
AND-0353,Cariamanga,tienda de barrio,13,10,47.0,56,12.5,8.1,1528.39,0,minimarket
AND-0354,Cariamanga,minimarket,14,10,73.4,52,33.2,15.1,2319.73,1,minimarket
AND-0355,Loja,tienda de barrio,40,8,16.79,25,29.2,15.9,388.0,1,barrio
AND-0356,Zamora,restaurante,32,4,11.76,27,34.2,5.7,133.54,0,barrio
AND-0357,Loja,panaderia,22,10,41.61,64,36.3,17.6,1102.37,0,minimarket
AND-0358,Zamora,tienda de barrio,34,12,30.04,56,4.7,8.0,1107.12,1,minimarket
AND-0359,Loja,tienda de barrio,30,3,17.1,9,5.3,17.2,172.34,0,barrio
AND-0360,Cariamanga,tienda de barrio,15,10,52.77,68,31.3,26.1,1405.26,0,minimarket
AND-0361,Catamayo,minimarket,42,15,191.28,140,13.5,4.1,10264.51,0,mayorista
AND-0362,Cariamanga,minimarket,37,5,22.82,33,12.1,7.5,348.95,1,barrio
AND-0363,Loja,restaurante,26,5,23.43,31,10.6,24.9,333.92,0,barrio
AND-0364,Cariamanga,tienda de barrio,40,6,17.34,5,35.0,8.1,413.39,0,barrio
AND-0365,Loja,tienda de barrio,67,13,34.39,43,71.1,10.5,1595.52,1,minimarket
AND-0366,Catamayo,tienda de barrio,14,4,20.62,13,36.2,9.4,296.65,0,barrio
AND-0367,Zamora,tienda de barrio,22,8,62.15,47,13.0,4.4,1321.93,1,minimarket
AND-0368,Catamayo,restaurante,23,8,58.87,69,33.8,19.7,1736.41,0,minimarket
AND-0369,Saraguro,panaderia,40,9,22.34,26,5.1,11.6,570.14,0,barrio
AND-0370,Cariamanga,panaderia,18,15,162.53,153,16.2,9.7,6835.81,1,mayorista
AND-0371,Catamayo,panaderia,38,10,85.56,65,3.6,3.0,1916.22,0,minimarket
AND-0372,Machala,tienda de barrio,19,5,14.57,25,13.5,4.6,223.99,1,barrio
AND-0373,Catamayo,minimarket,12,4,21.23,36,21.9,7.8,214.65,0,barrio
AND-0374,Machala,minimarket,27,6,12.42,28,79.8,17.9,219.52,0,barrio
AND-0375,Machala,tienda de barrio,19,10,14.67,23,42.7,22.5,345.67,1,barrio
AND-0376,Catamayo,tienda de barrio,28,8,25.13,40,3.7,6.6,742.56,1,barrio
AND-0377,Catamayo,minimarket,32,15,198.29,141,4.1,1.8,9520.0,1,mayorista
AND-0378,Macara,restaurante,9,7,21.65,18,10.2,12.8,581.39,1,barrio
AND-0379,Zamora,tienda de barrio,20,5,18.96,12,60.8,7.7,241.61,0,barrio
AND-0380,Loja,restaurante,27,7,53.74,68,3.8,14.7,1302.28,0,minimarket
AND-0381,Loja,restaurante,40,12,74.25,75,10.7,18.1,1967.36,1,minimarket
AND-0382,Loja,restaurante,38,18,199.35,139,10.7,4.0,10889.91,1,mayorista
AND-0383,Zamora,tienda de barrio,15,12,37.17,76,25.8,2.2,1222.21,1,minimarket
AND-0384,Macara,tienda de barrio,23,5,15.08,5,34.4,13.4,202.41,1,barrio
AND-0385,Loja,minimarket,33,6,20.32,21,29.4,11.8,326.49,0,barrio
AND-0386,Saraguro,tienda de barrio,22,17,229.09,140,23.3,6.7,10106.36,1,mayorista
AND-0387,Zamora,tienda de barrio,16,11,38.96,51,4.9,1.8,1083.92,1,minimarket
AND-0388,Machala,panaderia,25,15,179.07,169,20.7,6.4,7420.49,1,mayorista
AND-0389,Loja,tienda de barrio,32,3,15.84,21,47.0,5.4,141.72,0,barrio
AND-0390,Loja,tienda de barrio,14,10,50.75,55,57.8,4.6,1739.82,1,minimarket
AND-0391,Catamayo,restaurante,35,12,40.64,60,25.3,4.8,1492.24,1,minimarket
AND-0392,Cariamanga,tienda de barrio,28,4,15.68,5,3.7,11.1,209.62,0,barrio
AND-0393,Loja,restaurante,36,11,46.85,51,25.6,1.9,1266.43,1,minimarket
AND-0394,Loja,tienda de barrio,25,11,65.17,72,17.1,9.7,1957.06,1,minimarket
AND-0395,Zamora,tienda de barrio,62,7,21.51,14,4.4,2.8,490.12,0,barrio
AND-0396,Saraguro,tienda de barrio,31,7,17.43,12,7.4,7.1,372.28,0,barrio
AND-0397,Loja,tienda de barrio,38,9,50.46,76,8.7,14.9,1148.31,1,minimarket
AND-0398,Catamayo,tienda de barrio,35,3,18.56,38,31.3,6.7,183.75,1,barrio
AND-0399,Loja,panaderia,23,5,15.04,28,56.2,6.3,205.44,0,barrio
AND-0400,Catamayo,restaurante,30,7,13.99,17,28.0,6.2,259.22,1,barrio
AND-0401,Catamayo,tienda de barrio,18,5,14.64,19,32.0,9.9,225.04,0,barrio
AND-0402,Loja,tienda de barrio,59,15,182.63,130,18.0,3.5,8114.22,1,mayorista
AND-0403,Loja,minimarket,33,7,42.58,48,11.9,9.1,806.18,0,minimarket
AND-0404,Machala,tienda de barrio,16,9,18.65,9,28.6,4.9,459.56,0,barrio
AND-0405,Machala,tienda de barrio,52,17,246.57,133,23.5,3.6,10790.86,1,mayorista
AND-0406,Loja,tienda de barrio,24,17,148.11,128,9.5,2.0,7119.63,1,mayorista
AND-0407,Cariamanga,tienda de barrio,41,8,18.1,5,22.4,6.8,488.07,0,barrio
AND-0408,Loja,minimarket,9,11,52.4,63,19.0,2.4,1768.58,1,minimarket
AND-0409,Zamora,tienda de barrio,47,6,19.4,25,14.8,4.3,389.0,0,barrio
AND-0410,Machala,panaderia,32,16,209.4,160,11.6,1.7,10678.38,0,mayorista
AND-0411,Cariamanga,tienda de barrio,15,9,39.95,52,25.3,10.6,955.51,0,minimarket
AND-0412,Cariamanga,tienda de barrio,32,14,41.66,64,12.2,7.6,1370.81,1,minimarket
AND-0413,Catamayo,minimarket,56,7,18.12,26,71.2,7.4,327.72,1,barrio
AND-0414,Loja,tienda de barrio,18,15,263.34,137,27.4,1.5,10797.41,1,mayorista
AND-0415,Saraguro,restaurante,18,7,11.06,31,25.6,8.1,204.16,0,barrio
AND-0416,Loja,minimarket,23,4,19.42,31,16.6,1.1,263.62,0,barrio
AND-0417,Macara,panaderia,27,8,23.38,26,13.8,3.5,628.01,1,barrio
AND-0418,Saraguro,tienda de barrio,43,9,53.18,57,2.8,15.6,1799.36,1,minimarket
AND-0419,Loja,tienda de barrio,33,7,20.32,18,10.0,5.2,378.66,0,barrio
AND-0420,Cariamanga,tienda de barrio,23,18,179.91,124,3.6,8.1,11584.92,1,mayorista
AND-0421,Zamora,minimarket,30,11,53.57,50,3.5,16.8,2033.6,1,minimarket
AND-0422,Cariamanga,minimarket,61,6,12.6,15,6.4,0.7,219.46,0,barrio
AND-0423,Saraguro,tienda de barrio,37,6,10.75,9,43.8,16.8,192.49,0,barrio
AND-0424,Zamora,tienda de barrio,24,6,22.15,27,43.6,16.9,438.03,1,barrio
AND-0425,Loja,tienda de barrio,23,9,44.28,74,10.3,20.1,1094.72,1,minimarket
AND-0426,Cariamanga,tienda de barrio,29,9,49.76,49,4.8,4.9,1295.03,1,minimarket
AND-0427,Catamayo,tienda de barrio,43,8,13.27,25,13.3,17.5,273.78,1,barrio
AND-0428,Loja,minimarket,17,10,40.33,48,31.1,2.2,882.7,0,minimarket
AND-0429,Machala,restaurante,39,5,17.32,18,37.8,12.0,250.09,0,barrio
AND-0430,Catamayo,tienda de barrio,24,9,46.84,52,22.1,13.0,1095.53,0,minimarket
AND-0431,Loja,tienda de barrio,26,18,228.21,147,25.1,0.3,10703.23,1,mayorista
AND-0432,Loja,tienda de barrio,87,11,60.76,52,23.3,4.5,2081.54,1,minimarket
AND-0433,Machala,tienda de barrio,37,11,59.02,72,3.9,11.5,1541.44,1,minimarket
AND-0434,Machala,minimarket,19,10,57.96,57,5.3,11.3,1846.98,1,minimarket
AND-0435,Loja,tienda de barrio,32,7,25.47,14,57.7,28.0,508.24,1,barrio
AND-0436,Cariamanga,restaurante,44,5,14.23,7,22.0,19.9,187.12,0,barrio
AND-0437,Loja,panaderia,37,6,17.78,25,2.0,6.8,309.12,0,barrio
AND-0438,Macara,tienda de barrio,6,8,23.09,33,26.2,1.8,471.43,0,barrio
AND-0439,Saraguro,restaurante,26,11,72.64,63,8.4,1.4,2628.5,0,minimarket
AND-0440,Loja,minimarket,33,8,40.23,87,39.9,10.5,949.37,0,minimarket
AND-0441,Saraguro,restaurante,32,9,51.35,77,37.0,8.6,1387.01,0,minimarket
AND-0442,Machala,tienda de barrio,20,6,24.27,18,29.9,7.0,453.76,1,barrio
AND-0443,Catamayo,restaurante,38,13,61.5,56,21.8,19.7,2039.16,1,minimarket
AND-0444,Loja,tienda de barrio,47,3,18.79,28,46.7,14.6,131.01,0,barrio
AND-0445,Machala,tienda de barrio,9,6,17.16,12,49.9,1.0,348.47,0,barrio
AND-0446,Loja,restaurante,8,8,50.55,74,8.6,9.7,1277.33,0,minimarket
AND-0447,Saraguro,tienda de barrio,32,15,223.75,144,29.7,10.7,9005.32,1,mayorista
AND-0448,Saraguro,tienda de barrio,40,9,52.03,63,11.7,3.1,1463.88,0,minimarket
AND-0449,Loja,tienda de barrio,18,5,17.83,30,7.5,0.6,314.24,0,barrio
AND-0450,Loja,tienda de barrio,6,9,55.96,81,49.9,18.3,1628.67,0,minimarket
AND-0451,Loja,tienda de barrio,26,6,15.51,24,33.1,14.2,245.26,0,barrio
AND-0452,Loja,tienda de barrio,32,15,236.08,139,23.2,4.9,8589.26,1,mayorista
AND-0453,Saraguro,minimarket,22,8,104.42,78,9.3,3.0,2087.31,1,minimarket
AND-0454,Zamora,panaderia,44,7,12.18,34,50.9,10.2,235.99,1,barrio
AND-0455,Loja,tienda de barrio,31,7,19.33,18,8.3,7.8,476.19,0,barrio
AND-0456,Macara,panaderia,17,7,15.23,22,6.6,8.8,281.09,0,barrio
AND-0457,Catamayo,minimarket,18,14,238.44,142,19.0,1.4,9217.56,1,mayorista
AND-0458,Loja,panaderia,26,6,18.19,26,31.1,1.9,299.98,1,barrio
AND-0459,Saraguro,panaderia,21,11,65.04,44,14.4,5.2,1962.91,0,minimarket
AND-0460,Loja,restaurante,8,8,71.23,41,21.6,8.3,1652.53,0,minimarket
AND-0461,Cariamanga,tienda de barrio,29,10,57.38,49,11.7,19.4,1348.76,0,minimarket
AND-0462,Catamayo,minimarket,19,6,23.09,10,12.8,4.7,469.89,0,barrio
AND-0463,Cariamanga,restaurante,20,19,125.38,132,62.1,1.5,6972.91,1,mayorista
AND-0464,Machala,minimarket,13,9,25.54,30,17.6,7.5,924.36,0,barrio
AND-0465,Loja,tienda de barrio,57,7,59.73,58,48.7,12.8,1023.83,0,minimarket
AND-0466,Machala,minimarket,36,14,69.72,62,3.4,5.1,3529.92,1,minimarket
AND-0467,Loja,panaderia,64,9,42.05,45,40.5,20.7,1252.14,1,minimarket
AND-0468,Loja,tienda de barrio,22,18,174.92,134,9.8,28.0,7989.23,0,mayorista
AND-0469,Loja,minimarket,37,8,18.59,29,33.7,19.9,391.39,0,barrio
AND-0470,Zamora,panaderia,30,4,17.93,29,9.7,16.3,178.91,0,barrio
AND-0471,Macara,minimarket,18,7,19.16,13,13.6,13.1,339.47,0,barrio
AND-0472,Machala,tienda de barrio,22,6,22.85,24,7.2,14.0,389.12,0,barrio
AND-0473,Macara,minimarket,36,7,12.21,48,34.1,3.7,253.44,1,barrio
AND-0474,Catamayo,minimarket,13,6,22.3,22,38.0,6.3,318.02,0,barrio
AND-0475,Machala,tienda de barrio,45,8,18.03,14,10.0,11.0,558.37,1,barrio
AND-0476,Machala,minimarket,28,6,17.21,20,4.5,14.0,283.38,1,barrio
AND-0477,Zamora,tienda de barrio,41,6,13.02,23,48.2,14.7,223.0,1,barrio
AND-0478,Saraguro,panaderia,32,12,61.44,58,11.1,13.4,1933.82,1,minimarket
AND-0479,Zamora,panaderia,9,11,32.34,60,16.9,8.2,998.3,1,minimarket
AND-0480,Loja,panaderia,26,7,20.76,5,8.5,5.9,406.7,0,barrio
AND-0481,Machala,minimarket,45,5,12.96,10,31.8,9.3,187.38,0,barrio
AND-0482,Machala,tienda de barrio,28,4,18.21,20,32.4,7.7,211.65,0,barrio
AND-0483,Cariamanga,minimarket,26,9,53.58,58,53.7,5.0,1575.34,0,minimarket
AND-0484,Loja,tienda de barrio,28,5,23.28,15,41.3,5.9,351.51,0,barrio
AND-0485,Loja,tienda de barrio,8,7,17.31,20,39.3,3.8,392.54,0,barrio
AND-0486,Machala,tienda de barrio,48,8,15.45,23,18.2,7.2,360.07,1,barrio
AND-0487,Machala,minimarket,5,6,16.1,33,16.5,13.0,283.71,0,barrio
AND-0488,Macara,minimarket,53,8,23.82,21,31.5,5.5,542.31,1,barrio
AND-0489,Machala,tienda de barrio,21,12,61.89,65,17.4,22.2,2321.64,0,minimarket
AND-0490,Saraguro,tienda de barrio,33,10,50.53,54,42.3,11.1,1513.34,1,minimarket
AND-0491,Machala,tienda de barrio,7,9,52.21,67,8.0,18.2,1284.33,0,minimarket
AND-0492,Loja,tienda de barrio,39,13,38.96,65,3.3,11.1,1419.47,1,minimarket
AND-0493,Loja,tienda de barrio,36,10,59.91,70,28.9,3.5,1748.1,0,minimarket
AND-0494,Saraguro,panaderia,35,6,12.22,31,12.4,7.9,214.12,0,barrio
AND-0495,Loja,restaurante,7,9,64.89,67,6.9,18.5,1615.49,1,minimarket
AND-0496,Catamayo,restaurante,16,5,18.52,21,76.6,4.4,253.96,0,barrio
AND-0497,Zamora,tienda de barrio,32,4,30.43,25,19.5,2.7,399.15,0,barrio
AND-0498,Loja,tienda de barrio,47,11,43.18,73,5.4,7.9,1538.68,0,minimarket
AND-0499,Macara,tienda de barrio,15,5,17.6,14,11.1,7.0,323.94,0,barrio
AND-0500,Loja,minimarket,15,11,26.74,14,15.4,10.8,781.93,1,barrio
AND-0501,Zamora,minimarket,31,8,71.48,62,28.5,7.8,1814.65,0,minimarket
AND-0502,Loja,panaderia,83,14,180.18,145,11.2,20.0,5450.13,1,mayorista
AND-0503,Macara,tienda de barrio,18,17,220.61,130,17.1,2.0,12435.07,1,mayorista
AND-0504,Cariamanga,minimarket,21,8,18.01,21,23.8,19.1,331.4,0,barrio
AND-0505,Catamayo,restaurante,19,6,19.15,21,27.2,4.5,298.05,0,barrio
AND-0506,Loja,tienda de barrio,24,11,47.16,33,18.1,8.3,1573.09,0,minimarket
AND-0507,Loja,panaderia,49,3,17.65,19,61.5,7.1,142.52,0,barrio
AND-0508,Catamayo,minimarket,25,9,38.7,58,32.1,2.9,936.24,1,minimarket
AND-0509,Loja,tienda de barrio,87,4,18.54,20,30.8,8.7,201.9,0,barrio
AND-0510,Loja,restaurante,28,3,19.87,39,30.0,8.7,190.04,0,barrio
AND-0511,Macara,panaderia,51,6,17.12,7,42.5,11.1,261.31,1,barrio
AND-0512,Loja,panaderia,22,6,38.55,50,22.6,6.2,672.6,0,minimarket
AND-0513,Loja,tienda de barrio,12,4,22.37,5,7.9,3.7,251.91,0,barrio
AND-0514,Catamayo,tienda de barrio,25,5,19.5,16,26.3,1.4,323.65,0,barrio
AND-0515,Catamayo,minimarket,35,5,15.34,17,28.7,8.2,248.81,0,barrio
AND-0516,Saraguro,tienda de barrio,16,7,16.92,16,47.1,1.3,278.5,0,barrio
AND-0517,Cariamanga,tienda de barrio,47,6,12.94,35,7.2,28.0,238.08,1,barrio
AND-0518,Cariamanga,tienda de barrio,20,11,43.89,70,8.9,15.4,1258.58,1,minimarket
AND-0519,Saraguro,tienda de barrio,13,7,15.99,23,20.0,5.9,338.41,0,barrio
AND-0520,Catamayo,minimarket,78,12,72.07,56,30.6,5.0,2252.24,1,minimarket
AND-0521,Loja,minimarket,16,10,47.78,72,5.9,10.1,1445.82,0,minimarket
AND-0522,Macara,tienda de barrio,19,6,20.72,22,7.3,3.2,513.25,0,barrio
AND-0523,Loja,minimarket,38,7,15.99,12,36.0,27.3,305.54,0,barrio
AND-0524,Zamora,tienda de barrio,21,10,58.08,39,6.2,7.4,1594.58,0,minimarket
AND-0525,Cariamanga,tienda de barrio,14,5,17.45,17,9.0,10.9,243.32,0,barrio
AND-0526,Cariamanga,tienda de barrio,18,5,21.81,31,37.6,7.2,262.79,0,barrio
AND-0527,Saraguro,tienda de barrio,67,15,186.69,167,30.3,7.8,9838.1,1,mayorista
AND-0528,Machala,tienda de barrio,36,17,148.58,141,11.3,8.2,7643.24,1,mayorista
AND-0529,Catamayo,minimarket,39,10,40.58,51,27.9,5.1,1041.38,0,minimarket
AND-0530,Catamayo,tienda de barrio,30,5,16.01,8,24.1,10.9,201.61,0,barrio
AND-0531,Machala,minimarket,33,9,41.79,67,17.6,27.1,1012.73,1,minimarket
AND-0532,Cariamanga,tienda de barrio,20,8,60.19,39,14.1,9.1,1573.55,0,minimarket
AND-0533,Catamayo,minimarket,28,8,16.25,29,27.1,18.7,311.65,0,barrio
AND-0534,Loja,minimarket,6,10,92.74,70,6.7,2.3,3187.06,0,minimarket
AND-0535,Loja,tienda de barrio,43,5,12.28,27,26.8,9.2,175.58,0,barrio
AND-0536,Zamora,minimarket,20,7,18.82,19,22.5,10.2,336.46,0,barrio
AND-0537,Loja,panaderia,12,5,14.04,29,23.7,22.8,180.8,1,barrio
AND-0538,Loja,tienda de barrio,29,4,16.15,24,8.7,8.0,235.78,0,barrio
AND-0539,Loja,minimarket,23,8,18.57,13,47.9,5.9,363.65,1,barrio
AND-0540,Machala,panaderia,43,9,32.98,82,11.3,7.4,786.6,1,minimarket
AND-0541,Saraguro,tienda de barrio,25,15,221.23,136,12.9,15.8,10583.03,1,mayorista
AND-0542,Saraguro,restaurante,18,10,83.59,69,17.0,13.2,2448.32,1,minimarket
AND-0543,Machala,tienda de barrio,26,12,49.78,31,30.3,15.1,1523.0,1,minimarket
AND-0544,Catamayo,panaderia,55,16,222.35,155,23.2,3.2,11950.07,1,mayorista
AND-0545,Zamora,restaurante,43,4,22.55,40,4.3,4.2,303.67,0,barrio
AND-0546,Macara,restaurante,35,7,17.36,22,19.3,2.4,377.1,0,barrio
AND-0547,Saraguro,minimarket,44,5,15.84,29,20.6,5.7,214.61,0,barrio
AND-0548,Zamora,minimarket,37,9,10.91,29,48.7,2.1,275.29,0,barrio
AND-0549,Machala,tienda de barrio,15,10,63.33,52,15.2,6.5,1922.24,1,minimarket
AND-0550,Loja,tienda de barrio,40,2,17.56,29,28.4,7.2,86.38,0,barrio
AND-0551,Loja,panaderia,47,7,14.41,12,100.2,6.0,351.32,0,barrio
AND-0552,Zamora,tienda de barrio,49,9,18.51,15,43.1,1.7,619.32,0,barrio
AND-0553,Catamayo,panaderia,13,9,15.83,36,8.2,8.0,401.74,0,barrio
AND-0554,Saraguro,tienda de barrio,19,19,186.95,152,33.2,6.4,10886.32,1,mayorista
AND-0555,Loja,tienda de barrio,18,4,20.57,14,26.9,5.0,282.44,0,barrio
AND-0556,Zamora,tienda de barrio,22,7,13.41,13,14.8,7.7,352.37,0,barrio
AND-0557,Macara,minimarket,33,5,22.66,14,33.5,3.7,410.23,1,barrio
AND-0558,Machala,tienda de barrio,29,6,13.24,31,8.1,12.3,181.19,1,barrio
AND-0559,Saraguro,tienda de barrio,29,8,47.54,48,11.5,9.4,1055.51,1,minimarket
AND-0560,Machala,restaurante,11,5,27.48,26,17.2,28.0,392.55,1,barrio
AND-0561,Saraguro,panaderia,19,5,23.07,31,14.2,18.8,301.05,0,barrio
AND-0562,Cariamanga,panaderia,51,7,18.39,21,30.9,5.7,476.24,1,barrio
AND-0563,Macara,tienda de barrio,47,11,44.72,72,18.9,3.3,1800.78,1,minimarket
AND-0564,Saraguro,tienda de barrio,25,10,48.95,56,13.0,23.2,1202.86,1,minimarket
AND-0565,Cariamanga,minimarket,40,8,55.89,57,42.6,8.2,1271.92,0,minimarket
AND-0566,Loja,tienda de barrio,32,10,55.46,48,30.1,10.5,1448.37,1,minimarket
AND-0567,Catamayo,tienda de barrio,42,9,53.91,72,5.2,16.8,1327.41,1,minimarket
AND-0568,Macara,restaurante,41,7,17.88,13,5.1,19.3,337.57,0,barrio
AND-0569,Loja,tienda de barrio,26,8,17.17,26,13.1,8.1,451.97,1,barrio
AND-0570,Macara,restaurante,36,8,13.11,21,5.9,4.8,275.14,0,barrio
AND-0571,Loja,tienda de barrio,33,5,16.07,9,38.1,15.3,161.45,1,barrio
AND-0572,Loja,tienda de barrio,27,6,67.26,53,12.0,1.6,976.69,0,minimarket
AND-0573,Macara,tienda de barrio,23,3,13.32,39,28.4,10.3,100.72,0,barrio
AND-0574,Loja,restaurante,62,12,52.75,62,32.9,9.3,1681.46,1,minimarket
AND-0575,Machala,minimarket,27,9,45.92,48,2.8,18.3,1180.96,1,minimarket
AND-0576,Machala,panaderia,38,5,18.45,26,12.5,7.1,233.94,1,barrio
AND-0577,Catamayo,tienda de barrio,59,19,192.79,138,16.6,13.4,8904.35,1,mayorista
AND-0578,Catamayo,panaderia,36,12,76.12,101,23.9,9.9,2335.97,1,minimarket
AND-0579,Loja,minimarket,35,10,61.48,63,36.6,5.2,1563.48,1,minimarket
AND-0580,Zamora,minimarket,27,6,13.49,17,78.9,4.8,221.76,0,barrio
AND-0581,Loja,panaderia,33,6,20.86,39,57.5,13.5,329.39,0,barrio
AND-0582,Machala,panaderia,22,6,15.18,5,18.7,28.0,266.66,1,barrio
AND-0583,Machala,minimarket,93,9,15.85,23,18.5,7.1,366.02,1,barrio
AND-0584,Loja,tienda de barrio,11,7,19.29,46,53.5,3.2,381.93,0,barrio
AND-0585,Macara,panaderia,24,17,188.47,139,19.5,11.1,8572.21,1,mayorista
AND-0586,Catamayo,tienda de barrio,36,12,66.94,39,12.2,4.5,2630.72,1,minimarket
AND-0587,Saraguro,restaurante,35,4,15.18,17,38.5,10.7,171.2,1,barrio
AND-0588,Loja,tienda de barrio,22,7,15.71,39,24.8,8.6,365.69,0,barrio
AND-0589,Macara,tienda de barrio,8,6,15.58,27,5.0,15.0,227.49,0,barrio
AND-0590,Loja,tienda de barrio,12,2,15.89,12,15.3,4.2,93.2,0,barrio
AND-0591,Machala,minimarket,30,13,267.45,132,6.1,8.4,9365.49,0,mayorista
AND-0592,Catamayo,tienda de barrio,7,4,20.67,15,1.1,23.4,192.46,0,barrio
AND-0593,Cariamanga,panaderia,37,7,26.22,26,62.8,23.2,497.11,1,barrio
AND-0594,Machala,minimarket,49,10,90.58,76,21.5,4.0,3351.65,1,minimarket
AND-0595,Macara,tienda de barrio,41,6,14.35,35,15.7,12.0,220.52,0,barrio
AND-0596,Saraguro,minimarket,45,9,18.28,27,13.0,28.0,433.17,1,barrio
AND-0597,Catamayo,panaderia,7,8,42.46,44,19.8,21.5,788.17,1,minimarket
AND-0598,Catamayo,restaurante,23,10,46.35,44,12.9,13.0,1092.72,1,minimarket
