rotacion_semanal,cobertura_dias,plazo_proveedor_dias,surtido_local,en_promocion,indice_estacional,distancia_bodega_km,quiebres_previos_12s,quiebre_stock
17.6,7.4,12,88,0,1.05,34.1,0,1
27.8,8.5,32,45,0,0.97,25.5,1,1
47.6,12.3,7,79,0,0.887,39.3,1,1
24.9,33.1,4,36,0,1.198,32.1,0,1
10.1,9.5,14,75,0,1.008,16.0,1,1
14.6,25.5,3,43,0,1.068,5.4,2,1
97.6,23.4,4,67,0,0.798,9.1,1,1
21.6,5.4,6,117,0,1.32,30.7,0,0
27.0,3.6,12,44,0,0.735,26.1,1,1
7.0,9.8,4,39,0,1.265,21.0,0,0
10.4,18.7,6,79,0,0.799,25.2,0,0
30.9,23.4,3,59,0,1.168,3.8,0,1
7.0,25.9,9,169,0,0.73,4.7,4,1
27.4,14.3,1,18,0,0.712,39.5,2,0
35.4,24.2,10,70,1,0.833,77.6,3,0
19.9,5.2,12,158,0,1.117,52.1,0,1
37.5,6.1,6,80,0,0.721,56.0,0,0
35.9,12.0,3,80,0,0.903,65.2,0,0
23.3,16.7,13,18,1,1.355,45.6,0,0
15.1,10.8,8,58,1,1.1,7.2,0,0
9.6,9.9,4,73,0,0.968,20.5,2,0
16.5,12.4,6,5,0,0.738,33.2,1,1
19.9,14.0,6,102,0,0.733,20.4,1,0
21.2,33.4,3,35,0,1.096,19.0,1,1
40.1,5.3,3,112,0,1.398,10.2,0,0
18.6,8.8,12,5,0,0.795,4.6,1,1
19.6,9.9,11,91,0,0.862,9.0,1,0
45.1,28.7,6,102,0,1.375,61.1,1,0
35.2,33.6,11,32,0,1.374,57.5,1,0
27.5,28.7,5,98,1,1.07,4.6,0,1
29.4,10.6,8,64,0,1.095,1.5,0,1
27.0,10.0,12,32,0,1.133,43.0,3,1
44.3,15.5,3,34,1,0.784,12.4,1,0
5.3,35.5,7,66,0,0.936,6.5,0,0
25.2,17.8,6,75,0,0.705,36.1,3,0
29.5,15.7,9,93,0,0.902,12.0,2,1
37.1,11.9,3,66,0,1.022,63.6,1,0
18.6,16.7,6,93,0,0.729,52.3,0,0
6.2,3.5,16,77,0,0.926,5.9,0,1
13.8,21.2,17,71,0,0.884,19.9,0,0
23.4,13.7,10,26,1,1.32,38.5,0,1
26.7,22.1,19,36,0,0.76,24.8,0,0
24.3,15.0,8,73,0,0.912,17.9,0,1
6.2,31.7,3,90,0,1.308,17.4,0,1
51.0,7.5,10,112,0,1.064,20.9,0,0
14.8,5.4,2,90,0,0.885,37.1,2,0
10.7,8.7,2,95,0,1.19,8.2,3,0
12.4,9.1,22,103,0,1.021,11.4,0,1
11.6,22.9,8,63,0,0.712,3.6,0,0
45.6,21.6,8,103,0,1.082,10.4,1,1
26.0,33.3,8,94,0,0.745,14.1,2,0
21.6,6.2,2,96,0,0.781,36.6,2,0
7.3,16.0,4,78,0,1.207,16.7,1,0
38.2,20.1,10,88,0,1.2,19.9,3,0
53.4,3.5,3,77,1,0.973,33.1,0,0
54.6,7.1,3,18,0,0.859,54.4,0,0
26.2,13.5,13,119,0,0.72,8.4,0,0
52.4,4.4,4,105,0,1.215,10.7,0,0
61.6,25.1,1,77,0,1.188,8.1,0,1
8.9,30.6,2,97,0,1.234,6.4,1,1
21.6,30.3,2,53,0,0.776,40.0,0,1
37.7,11.8,5,47,0,0.736,36.1,0,0
23.5,2.4,5,57,0,0.842,31.3,0,0
24.4,6.4,3,65,0,1.258,23.8,0,0
34.2,10.0,2,72,0,0.81,8.6,0,0
5.3,5.8,30,25,1,1.122,60.6,3,1
15.8,20.6,3,5,0,1.149,62.9,1,1
47.2,3.0,9,27,0,1.246,67.4,0,0
37.3,8.8,13,43,1,0.703,87.4,2,1
53.7,8.3,4,113,0,1.142,17.9,2,0
33.4,30.6,5,5,0,1.347,32.4,1,1
11.1,8.8,13,93,1,1.019,33.2,0,0
20.9,13.7,3,35,0,1.222,10.5,2,0
16.4,13.6,4,57,0,0.973,46.1,1,0
15.1,13.9,7,77,0,0.791,6.8,1,0
17.5,22.1,9,72,0,0.942,10.7,2,0
28.0,12.1,12,93,0,1.187,24.2,1,1
18.8,20.7,9,5,0,0.765,9.3,2,1
16.1,8.2,7,139,0,1.003,44.5,1,0
47.2,14.5,14,101,0,0.742,110.7,0,1
19.8,8.4,2,47,0,1.312,19.3,3,0
48.6,9.0,5,95,0,1.33,10.3,3,0
15.8,10.2,6,114,0,0.998,10.7,2,0
36.9,22.5,7,180,0,0.96,8.8,2,1
42.5,3.6,26,100,0,1.266,35.6,3,1
20.8,4.1,8,64,1,1.313,15.7,1,0
25.2,12.6,16,62,0,1.142,13.0,0,0
39.3,23.6,7,31,0,1.322,1.3,0,0
29.0,16.6,4,110,0,1.057,13.5,1,0
52.8,32.5,14,87,0,0.802,29.4,0,0
24.2,12.9,11,91,0,1.397,21.9,0,0
7.3,2.5,9,82,0,1.327,6.9,1,1
22.0,19.2,12,5,0,1.27,25.5,1,0
27.7,39.7,5,37,0,1.329,29.4,4,1
7.6,10.6,13,5,1,0.702,17.4,2,1
6.5,20.8,4,85,0,1.396,72.8,0,0
24.2,17.3,6,46,0,1.005,8.8,1,0
16.0,14.7,2,67,1,0.721,6.5,1,0
28.7,13.3,11,62,0,1.153,33.5,0,0
12.3,15.2,11,134,0,0.77,43.1,0,1
16.9,43.2,13,51,1,0.901,9.5,1,0
9.6,3.4,3,55,0,0.928,13.3,1,0
7.7,13.2,10,37,1,1.322,13.7,1,1
15.0,4.8,22,35,0,1.176,37.9,4,1
15.4,18.2,15,57,1,1.374,24.0,0,1
12.9,7.1,8,53,0,0.716,46.5,0,1
13.4,9.6,1,79,1,1.289,19.1,1,0
24.2,5.3,17,14,0,0.821,29.2,1,1
13.1,21.6,9,29,0,0.923,41.0,1,0
10.5,19.2,14,80,0,1.299,77.7,0,0
14.4,11.3,5,26,0,0.738,12.5,2,0
13.2,13.9,3,66,1,1.394,1.6,2,1
25.2,1.8,19,78,0,1.151,27.4,4,1
13.9,16.2,11,63,0,1.033,34.9,1,0
30.1,11.9,7,60,0,1.383,25.4,1,0
26.7,6.9,8,75,0,1.129,31.8,1,1
38.6,28.5,13,40,0,0.866,6.5,0,0
5.9,10.2,1,134,0,1.156,34.3,0,0
63.7,2.2,8,45,0,0.757,72.9,0,0
16.1,35.6,9,103,0,1.332,44.2,1,1
49.5,11.9,4,95,1,1.153,4.8,1,0
17.9,9.6,3,5,0,1.153,36.9,0,0
20.5,47.0,2,29,0,1.017,14.6,1,1
31.1,18.8,18,82,0,1.269,9.9,0,0
22.9,15.0,8,144,0,1.237,65.3,0,0
50.5,6.3,2,96,1,1.106,20.4,1,0
59.8,21.0,7,115,0,1.045,49.4,0,0
15.9,9.3,9,61,1,0.998,27.0,1,0
52.5,16.8,3,124,0,1.301,23.1,4,1
6.9,12.8,19,111,1,1.352,39.7,0,1
24.0,5.4,2,5,0,1.176,15.9,3,0
29.2,24.3,3,54,0,1.387,38.2,1,1
15.8,49.6,5,48,0,1.373,31.9,0,1
10.5,13.6,21,33,0,1.117,41.4,1,1
11.7,11.8,12,77,0,1.039,95.6,6,0
28.2,16.3,3,123,0,1.065,25.1,0,0
22.9,17.7,6,64,0,0.995,17.2,0,0
14.3,9.6,14,46,0,1.284,31.3,2,0
9.4,14.5,12,79,0,1.197,16.0,2,0
30.0,16.1,6,83,0,1.118,18.7,1,1
41.1,13.1,11,81,0,1.267,19.9,1,0
26.3,21.5,2,26,0,1.121,23.7,1,1
38.2,23.9,6,113,0,1.337,1.7,0,1
23.6,15.0,19,16,0,0.71,38.8,0,1
11.5,23.1,6,32,0,1.079,25.0,0,0
17.3,22.8,7,96,0,1.234,4.4,1,0
21.8,9.4,15,114,0,1.282,54.1,4,1
37.2,11.3,6,53,0,1.028,67.3,1,0
11.5,26.4,4,49,0,0.891,19.3,0,1
4.4,23.0,1,49,0,0.856,13.5,0,1
19.8,9.6,32,32,0,0.96,30.7,1,1
19.9,9.8,20,50,0,1.339,41.9,1,1
39.5,4.8,17,38,1,1.084,14.0,2,1
8.4,17.3,5,38,0,1.21,17.4,4,0
13.4,7.1,22,59,1,0.999,56.7,1,1
21.5,8.7,19,73,0,1.19,60.6,1,1
3.8,6.3,3,95,0,1.38,17.3,1,0
12.0,14.3,19,68,0,1.104,16.7,4,1
10.1,7.7,1,69,0,1.37,10.2,1,0
36.8,8.7,4,60,0,1.274,27.0,5,0
11.8,14.0,28,39,1,0.867,10.1,0,1
33.6,15.1,6,66,0,0.86,45.2,1,1
90.2,10.8,13,87,0,1.317,16.8,1,1
43.2,15.5,4,86,0,0.873,8.0,2,0
35.6,2.9,6,47,0,0.862,5.4,2,0
58.4,12.5,3,66,1,0.971,13.3,1,0
44.5,13.3,13,97,0,1.172,13.3,2,0
41.8,17.4,9,81,0,0.901,15.7,1,1
17.4,16.9,5,46,0,1.207,25.9,5,0
25.2,7.5,12,26,0,0.823,36.1,1,0
18.0,22.7,4,5,0,1.339,54.5,0,1
34.6,51.4,8,115,0,0.874,15.8,0,1
4.4,11.3,5,148,0,0.872,25.0,1,1
28.0,21.7,9,95,0,0.901,36.6,4,0
43.8,11.6,5,41,0,1.293,29.5,1,0
15.5,6.8,6,59,0,0.77,92.9,0,1
13.2,30.9,2,48,1,0.999,21.0,1,1
26.6,10.2,7,59,0,1.252,13.1,5,0
32.5,38.4,8,81,1,0.725,46.3,1,1
11.9,8.4,23,85,0,1.067,8.3,1,1
24.8,22.1,4,38,0,0.714,23.6,0,1
35.1,24.0,10,81,1,1.065,53.9,1,0
34.4,5.9,20,5,0,1.243,6.2,1,1
9.4,6.0,3,119,0,1.178,27.3,0,0
7.0,8.2,29,23,0,0.732,15.5,1,1
17.4,8.8,3,72,0,0.83,16.2,0,0
45.0,28.4,6,87,0,0.778,10.3,0,0
20.0,50.7,7,77,1,0.992,31.6,2,1
23.2,10.4,8,87,0,1.075,6.7,4,0
23.6,6.9,6,114,0,0.914,35.8,7,0
6.7,12.8,9,49,0,1.167,4.8,3,0
29.2,28.5,6,78,0,0.722,39.3,3,1
54.5,8.1,4,48,1,0.778,15.6,0,0
8.1,4.7,23,109,1,0.761,15.7,1,1
34.1,13.6,8,65,0,1.116,33.9,1,0
74.2,16.0,3,66,0,0.726,55.1,0,0
64.5,9.5,2,62,1,0.875,38.0,0,0
15.2,26.2,5,81,1,1.39,29.7,0,1
28.2,12.2,8,67,1,0.911,35.2,0,0
22.4,22.3,15,67,0,0.874,37.1,1,0
35.7,3.1,3,57,0,1.087,12.4,0,0
36.1,8.0,8,61,0,0.704,25.4,0,0
23.6,13.9,8,73,0,0.802,62.6,1,0
12.2,13.9,4,104,1,1.267,14.1,1,0
37.5,23.8,1,82,0,0.859,14.2,0,1
11.8,22.0,9,54,0,0.805,9.9,0,0
18.4,9.8,6,56,0,0.759,66.2,1,0
18.9,7.8,10,124,0,1.013,33.7,0,1
56.2,12.5,5,18,0,1.331,28.4,2,0
9.2,16.0,2,24,0,0.887,16.3,2,0
22.8,8.3,17,44,0,1.073,20.8,1,1
11.1,22.7,16,92,0,1.235,69.5,0,0
15.0,19.8,12,40,0,0.77,10.7,2,1
5.4,8.8,4,39,0,1.148,12.5,1,0
14.8,6.3,8,102,1,0.751,23.8,1,1
7.3,24.6,4,20,0,0.876,42.1,1,0
18.3,34.9,16,93,0,1.237,36.7,1,0
19.8,19.2,43,112,0,0.828,29.1,1,0
18.6,14.9,13,95,0,1.4,39.9,2,1
45.7,21.3,10,77,0,1.008,35.9,0,0
21.4,28.7,17,94,1,0.929,42.9,0,0
24.4,13.8,5,159,0,0.994,29.3,4,1
28.1,2.6,20,71,0,0.758,26.1,1,1
32.6,16.6,8,71,0,0.786,41.1,0,0
24.6,17.0,3,142,0,0.964,26.4,4,0
56.0,9.3,1,51,0,1.236,11.8,1,0
14.2,12.3,11,61,0,0.701,31.5,0,0
29.9,19.6,23,132,1,0.807,32.3,2,0
11.1,9.9,7,103,0,0.784,19.6,0,0
9.8,12.0,5,28,0,1.02,64.8,1,0
28.1,14.4,5,74,0,0.993,19.6,2,0
29.2,19.7,2,95,0,1.135,37.2,0,0
23.4,26.9,16,68,0,0.929,29.1,2,0
25.1,17.8,6,66,0,0.823,16.8,0,0
7.9,35.5,14,25,0,1.151,10.8,1,0
16.5,10.4,11,92,0,1.176,34.6,0,0
59.2,13.9,5,141,0,1.107,39.0,1,0
32.7,13.5,8,84,0,1.14,57.3,0,0
40.9,3.8,3,103,0,0.974,13.9,2,0
35.1,4.4,9,40,0,0.801,8.3,2,0
44.4,5.8,14,34,0,1.356,2.8,1,1
17.7,6.6,4,43,0,0.767,41.7,1,0
30.0,7.0,14,80,0,1.258,42.6,0,1
32.6,2.9,6,74,0,1.028,33.5,3,0
52.4,27.5,17,15,0,1.067,16.8,2,0
28.1,14.4,5,58,0,0.878,44.4,0,0
9.1,21.1,5,72,0,1.281,22.5,1,1
19.7,11.4,5,82,0,1.277,1.7,0,0
42.5,9.4,2,72,0,1.176,18.0,0,0
24.2,25.9,2,100,0,0.909,71.6,0,1
52.1,23.1,1,24,1,0.916,27.2,5,1
34.9,8.4,8,132,1,1.186,8.2,0,0
54.6,8.1,4,5,0,0.715,20.2,4,0
11.7,32.9,3,107,0,1.398,63.5,4,1
26.5,34.0,7,116,0,0.734,16.2,2,0
20.9,2.9,4,37,0,1.032,20.2,1,0
54.0,13.4,10,135,0,1.286,57.0,0,0
20.8,7.9,18,65,1,1.113,22.6,1,1
24.9,9.9,2,64,1,1.011,50.0,1,0
18.2,13.5,7,101,0,0.951,15.8,1,0
27.9,22.7,19,75,0,0.848,24.7,2,0
20.2,17.5,8,54,0,1.238,16.9,0,0
22.3,3.8,8,59,0,1.187,4.5,0,0
14.3,5.7,13,77,0,1.282,19.6,2,0
34.4,32.2,3,50,0,1.236,9.9,2,1
23.3,9.1,16,89,0,0.787,17.7,1,1
34.2,8.2,2,53,0,0.71,14.1,1,0
9.5,25.5,5,55,0,0.834,45.3,1,0
15.7,12.5,5,56,1,0.714,22.7,0,0
9.7,10.0,6,5,0,1.315,65.8,1,0
22.3,4.3,10,60,1,0.944,11.2,1,0
57.9,7.4,1,84,0,1.361,37.8,0,0
33.9,7.5,5,127,0,0.791,41.7,1,0
32.2,21.1,9,122,0,1.165,4.3,0,1
44.0,10.7,14,71,1,0.759,28.2,1,0
37.8,14.0,11,70,1,1.192,16.1,2,0
11.4,12.5,5,47,1,0.712,20.6,2,0
24.1,11.2,11,96,0,0.76,18.8,2,0
16.2,7.6,2,27,0,0.883,27.6,1,0
50.7,18.6,15,40,1,1.093,13.8,1,0
19.7,14.1,13,19,0,1.056,3.3,2,1
19.6,7.7,5,66,1,1.146,70.2,3,0
23.2,19.7,10,77,0,1.268,13.5,4,0
36.0,6.0,3,31,0,0.757,20.0,0,0
18.7,12.0,15,38,0,1.077,21.9,0,0
35.3,3.8,2,89,0,0.887,19.0,0,0
26.2,11.4,7,62,0,1.048,47.2,1,0
5.7,21.5,7,38,0,0.756,23.6,0,0
25.0,6.2,19,49,0,0.999,5.7,6,1
39.1,3.5,5,94,0,0.951,25.2,3,0
28.6,17.7,4,90,0,1.345,25.2,1,0
20.3,19.4,16,65,1,0.763,21.9,1,0
66.2,41.7,7,34,0,0.771,12.7,2,1
25.9,1.4,18,27,0,1.018,7.2,0,1
13.2,54.5,8,9,0,1.366,15.9,3,1
45.9,5.4,6,40,0,1.247,41.9,0,0
12.1,26.7,12,91,0,0.925,34.9,1,0
32.8,26.0,15,44,0,1.2,65.3,0,0
16.2,19.9,10,35,0,0.756,20.4,0,1
10.8,22.5,12,38,0,1.388,8.9,1,0
27.3,7.7,10,55,0,0.826,42.7,2,0
18.6,21.2,7,105,0,0.815,49.8,0,0
33.9,12.8,3,39,0,0.708,13.7,0,0
43.5,4.0,3,50,0,0.906,11.4,0,0
42.2,11.7,9,30,0,0.746,22.9,1,0
27.8,14.7,22,101,0,1.351,44.5,2,1
26.7,18.7,9,68,0,0.95,34.8,0,0
27.8,8.1,3,22,1,1.071,45.1,1,0
57.0,16.2,8,34,0,0.879,32.6,0,0
16.3,22.4,10,84,0,0.805,38.3,1,0
58.3,27.8,8,107,0,0.746,83.8,1,1
9.3,18.2,4,49,1,1.026,53.2,2,0
52.8,8.9,6,92,0,0.937,11.7,3,0
28.6,12.6,13,83,0,1.089,11.9,2,0
56.3,15.3,2,134,0,1.335,36.9,1,0
16.7,18.2,2,36,0,1.381,12.3,1,0
35.2,26.7,2,131,0,1.348,51.8,1,1
39.5,22.1,14,96,0,0.912,38.4,6,0
61.5,19.3,8,39,0,0.742,46.9,0,0
61.1,3.5,4,93,0,1.071,19.6,1,0
24.6,14.6,6,44,0,1.144,15.9,3,0
19.7,6.2,2,78,0,0.785,8.4,2,0
23.6,22.1,8,90,0,1.199,26.4,1,1
46.6,13.3,31,49,0,0.737,23.7,1,1
31.2,25.6,3,132,0,0.863,10.8,0,1
67.4,8.7,10,70,1,1.362,38.0,8,1
60.0,6.0,22,72,1,1.227,27.5,1,1
33.9,13.3,14,98,0,1.249,43.9,2,0
47.2,8.2,6,95,0,1.325,12.5,1,0
21.4,17.7,4,100,0,0.932,35.7,4,0
41.6,13.3,24,94,0,1.129,37.1,1,0
35.1,9.3,10,143,0,1.171,7.6,1,0
39.9,18.8,2,78,0,1.155,101.9,1,0
11.9,8.7,10,77,0,0.841,11.2,3,0
49.8,19.1,3,116,1,0.74,11.9,1,0
39.0,7.7,15,70,0,0.955,70.5,0,0
21.8,7.3,4,31,1,1.34,30.0,2,0
14.9,2.1,10,53,0,1.145,75.4,0,0
24.0,12.8,9,53,0,0.96,68.1,2,0
51.9,9.1,2,128,0,0.96,60.7,0,0
24.1,12.3,14,44,0,1.119,54.7,1,0
22.5,26.1,25,29,0,1.366,11.4,5,0
13.1,5.2,10,100,0,0.905,9.0,0,0
36.1,7.1,3,140,0,0.995,10.6,0,0
13.2,7.1,1,22,1,1.397,9.2,2,0
25.5,6.5,5,141,0,1.08,10.9,1,0
5.2,4.6,11,38,1,1.049,42.6,1,1
29.2,10.9,3,8,1,1.161,53.9,0,1
31.0,5.4,3,19,0,1.231,52.4,1,0
12.0,26.3,9,72,0,0.965,50.1,1,1
10.0,17.4,22,56,0,1.288,24.8,1,1
39.1,22.0,5,67,0,0.866,37.0,2,0
18.1,4.4,5,51,0,0.754,42.2,1,0
30.3,7.8,13,25,0,1.08,42.0,0,1
59.0,13.1,14,93,1,1.117,16.5,0,1
8.9,8.4,6,52,0,0.916,12.0,0,0
18.4,6.4,17,108,0,0.899,39.0,0,1
12.4,12.9,11,93,0,1.028,17.6,0,0
27.1,6.7,4,58,0,1.041,0.7,0,0
59.6,3.6,9,52,0,1.253,2.2,2,0
21.9,12.2,6,5,1,1.145,45.0,0,1
16.6,5.3,12,98,0,1.286,13.5,2,1
53.7,42.7,3,76,0,1.182,11.9,1,1
18.9,23.3,3,86,1,0.859,10.2,1,1
12.4,15.6,10,39,0,1.28,37.3,1,0
45.9,15.2,10,70,0,0.862,30.5,2,1
17.3,26.8,8,28,0,1.101,6.9,1,0
20.0,19.5,5,35,0,0.868,8.2,0,1
27.6,33.5,6,115,0,1.061,13.3,4,0
76.2,19.7,5,58,0,0.97,10.1,0,0
35.7,8.0,15,65,0,1.063,54.4,0,1
25.6,1.2,8,19,0,1.049,2.7,2,0
35.2,30.7,5,37,0,0.995,39.6,0,1
35.6,10.7,6,31,0,1.249,6.3,2,0
19.3,23.8,11,59,1,1.25,12.1,1,0
27.2,27.4,13,48,0,0.994,10.8,0,0
50.2,16.8,20,58,0,1.296,15.0,0,0
16.9,11.9,15,88,0,0.955,7.7,0,0
9.0,22.4,2,119,0,1.104,28.9,1,0
16.0,3.2,12,86,0,0.779,6.3,0,1
26.0,7.4,5,34,1,1.288,21.9,1,0
33.5,23.8,8,25,1,0.821,0.9,0,1
16.2,22.3,2,35,0,1.138,15.3,0,1
32.3,12.7,4,75,0,1.36,41.2,2,0
33.8,23.7,10,104,1,0.939,21.7,5,0
18.1,7.0,16,102,0,0.848,42.9,0,1
57.1,19.0,8,140,0,1.08,45.7,0,0
10.1,3.6,3,66,1,1.295,17.4,0,0
7.8,20.7,7,52,0,1.323,54.2,1,0
16.7,27.6,10,68,1,0.858,29.6,5,0
12.8,27.0,17,8,0,1.381,44.6,1,0
27.7,6.7,6,69,0,1.11,37.6,1,0
14.6,29.2,12,58,1,1.15,26.5,7,0
19.8,11.8,23,29,0,0.874,11.7,2,1
15.3,5.7,1,114,0,0.95,60.9,1,0
22.2,12.6,8,45,0,0.777,21.1,0,0
23.0,22.7,7,53,0,1.223,16.6,0,1
8.5,32.7,9,17,0,0.948,22.5,0,1
17.0,18.7,3,75,0,1.128,16.3,0,0
24.7,32.7,16,136,1,1.241,15.8,1,0
15.9,18.2,6,77,0,1.123,90.7,0,0
37.9,5.5,11,107,0,0.816,53.3,1,0
34.5,15.4,12,47,0,0.788,9.9,2,0
83.7,16.3,15,92,0,1.011,26.3,1,0
31.9,13.3,4,44,1,1.003,22.4,1,0
7.0,9.9,8,34,0,0.932,45.4,1,0
47.1,39.3,8,84,0,0.74,14.6,2,0
10.8,6.7,10,118,0,0.828,30.1,2,0
21.5,1.9,2,40,1,1.075,16.4,1,0
58.6,15.9,8,81,0,1.362,13.2,2,0
5.3,18.5,6,5,1,0.858,6.5,1,0
4.9,10.1,2,33,0,0.726,7.7,5,0
50.5,7.7,45,158,0,0.816,17.9,1,1
11.1,30.6,8,54,0,1.115,26.1,0,0
21.2,11.3,19,49,0,0.828,26.9,1,1
11.2,8.9,1,91,0,0.801,12.7,0,0
24.5,5.3,8,34,1,1.29,30.5,4,0
8.3,10.8,7,91,0,1.107,2.5,2,0
28.9,38.8,13,91,1,1.358,33.5,0,0
18.2,9.6,9,58,0,1.23,15.1,3,0
27.8,5.2,29,119,1,0.918,17.4,0,1
55.5,20.1,15,16,0,1.105,15.1,2,1
33.8,18.3,8,57,1,0.933,9.2,0,1
83.1,16.3,13,115,1,0.713,9.0,0,0
23.2,13.8,7,102,1,1.005,27.9,0,0
24.9,12.1,9,54,0,1.378,8.0,0,0
14.6,16.0,12,47,1,1.258,17.1,1,0
2.2,18.7,5,78,0,0.705,15.3,0,0
58.7,23.0,4,5,0,0.948,26.9,1,1
51.8,30.5,3,71,0,1.181,33.5,3,1
16.5,13.5,15,79,1,1.175,83.5,1,0
32.4,19.9,7,44,0,0.87,59.6,1,0
29.1,17.4,10,70,0,0.982,24.4,2,0
3.7,11.4,11,70,1,1.215,3.4,1,0
20.7,9.4,3,19,0,1.366,30.6,1,0
16.0,9.6,5,68,1,0.927,9.8,1,0
7.3,5.6,5,22,0,0.766,47.0,4,0
22.1,4.0,8,47,1,1.14,15.2,1,0
15.8,21.4,12,52,1,0.992,3.3,1,0
19.7,10.4,14,121,0,1.101,95.2,2,1
32.9,19.9,12,99,1,0.906,21.0,2,0
21.3,9.7,14,122,0,1.116,65.8,0,1
38.7,15.4,20,49,0,0.808,12.6,3,1
17.7,10.8,2,60,0,0.741,28.1,2,0
29.3,9.6,4,79,0,1.303,31.6,1,0
6.3,13.5,8,73,0,0.721,12.3,2,0
20.1,30.3,6,108,0,0.975,17.9,2,1
29.4,5.7,9,93,0,0.989,14.8,1,1
23.4,20.9,15,101,0,1.029,69.8,1,0
28.5,7.3,2,60,0,1.358,51.0,1,0
7.9,9.7,23,96,0,0.97,19.5,1,1
13.5,20.0,8,53,0,1.143,11.6,0,1
20.7,19.8,8,151,0,1.032,11.7,1,1
18.9,10.0,8,59,0,1.157,32.2,0,0
34.1,21.6,8,75,0,1.383,35.4,4,0
7.1,16.1,11,96,0,1.338,11.8,2,1
68.3,11.6,8,152,0,1.344,23.7,1,1
18.0,15.2,31,107,0,1.26,18.7,3,1
51.1,29.3,1,41,0,1.146,21.3,1,1
9.8,20.6,3,106,0,1.135,18.8,1,1
28.4,11.5,6,16,0,1.112,6.1,1,0
53.0,6.3,23,52,1,0.846,7.4,2,1
30.8,12.3,15,44,1,1.262,1.6,1,1
22.7,19.2,7,56,0,1.185,18.8,3,1
17.2,19.5,3,96,0,1.172,19.3,2,0
3.8,6.0,17,107,0,1.19,11.7,1,1
38.6,20.7,5,113,0,1.198,23.8,1,0
15.3,25.0,1,53,0,0.814,12.5,0,1
32.5,4.3,19,21,0,1.325,15.1,0,1
44.6,51.8,5,87,0,0.839,8.2,0,1
27.0,25.7,16,78,1,1.143,10.3,2,0
24.2,8.9,5,9,0,1.05,33.8,0,0
35.9,47.8,9,58,0,0.851,39.6,1,0
45.1,12.6,3,35,0,1.337,23.4,3,0
12.9,22.8,4,5,0,0.975,29.1,0,1
22.9,7.6,7,75,0,1.273,29.8,1,0
29.4,17.8,8,48,0,0.981,13.8,0,0
29.8,34.8,12,49,0,1.349,31.0,0,0
24.6,11.4,1,72,0,0.721,40.6,0,0
32.2,11.3,11,5,1,1.327,14.4,1,0
57.1,13.7,8,32,0,1.354,32.4,2,1
27.4,29.0,23,78,0,1.292,10.1,0,0
8.0,25.3,9,89,1,1.1,17.6,2,1
6.4,7.1,1,116,0,1.391,12.7,2,0
14.0,18.2,4,77,0,0.93,20.6,1,0
25.2,15.4,10,90,1,1.182,31.2,1,1
42.2,8.5,7,73,0,1.098,20.2,1,0
19.1,7.3,2,100,0,0.818,35.2,4,0
39.5,8.5,8,31,1,1.109,13.9,1,0
37.4,14.3,4,46,0,0.977,34.0,0,0
13.4,10.7,8,66,0,0.795,16.7,1,0
13.3,4.1,6,70,0,0.913,21.1,0,0
3.5,38.7,8,28,0,0.702,5.6,1,1
41.2,12.8,7,16,0,1.388,18.2,3,0
16.0,33.3,5,39,0,0.715,7.0,1,1
17.5,7.2,13,45,0,1.021,23.0,0,0
27.5,7.1,14,81,0,0.721,18.5,0,0
6.0,5.8,10,5,0,1.006,58.1,1,1
17.1,10.7,6,148,1,1.178,43.7,2,1
16.8,10.4,5,40,0,1.112,114.1,3,0
5.7,6.8,10,14,0,1.067,101.2,4,1
25.5,26.7,4,24,0,0.793,30.3,0,1
48.0,5.7,21,65,0,1.043,6.7,0,1
15.9,11.9,3,37,0,0.824,27.8,1,0
36.8,13.7,3,63,1,1.069,20.3,4,1
15.5,31.6,9,56,0,0.921,64.7,1,1
18.5,4.1,10,73,0,1.03,19.3,0,0
44.8,22.6,4,66,0,0.822,31.4,1,0
12.1,18.9,3,83,0,0.895,21.8,1,0
20.2,12.8,5,126,0,1.116,7.5,4,1
52.9,16.4,8,56,0,0.863,14.4,1,0
14.8,33.7,3,34,0,1.055,24.4,2,1
36.5,11.8,18,101,1,1.333,17.3,0,1
38.4,11.9,6,83,1,0.7,7.7,1,1
32.8,13.4,15,66,0,1.198,40.5,4,1
28.9,30.7,6,76,0,1.125,16.5,2,0
38.1,23.2,6,51,0,1.371,62.1,0,0
5.6,10.2,8,115,0,1.385,28.1,0,1
48.6,16.9,5,102,0,1.271,15.4,0,0
25.6,12.2,15,78,0,1.298,15.0,1,1
26.8,18.9,12,59,0,1.11,13.3,0,0
22.6,15.8,14,10,0,0.987,77.6,0,1
8.4,8.4,6,96,0,1.194,9.1,4,0
54.7,6.1,8,73,0,0.814,1.5,2,0
7.3,11.0,9,103,0,1.185,7.2,0,0
16.4,14.3,19,21,1,1.109,19.4,1,1
48.5,16.9,14,64,0,0.828,41.3,2,0
39.3,17.8,11,62,0,0.928,40.1,2,1
14.1,7.6,1,6,0,0.836,44.3,2,0
8.8,8.8,14,19,0,0.807,12.4,1,1
21.1,11.0,13,79,0,0.975,8.0,1,0
9.3,11.3,10,158,0,1.342,18.0,1,1
5.9,17.1,5,114,0,0.835,25.4,1,1
32.0,12.1,8,8,0,0.773,8.5,1,1
84.7,13.2,6,76,1,1.375,28.9,0,0
